Sl.No,Authors,Year of publication,Primary affiliation of primary author,Title of article,Name of Publication/Journal,Subdomain,Disease Name,Type of Evidence Source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Virology AI task addressed,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured and What was measured?,Performance Metrics,Performance score,
1,"Ong SQ, Ahmad H, Nair G, Isawasan P, Majid AHA.",2021,"UOW Malaysia KDU Penang University College, 32, Jalan Anson, 10400, George Town, Pulau Pinang, Malaysia. songguan26@gmail.com.",Implementation of a deep learning model for automated classification of Aedes aegypti (Linnaeus) and Aedes albopictus (Skuse) in real time,Sci Rep,arboviral virology,['Dengue fever'],"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't","The primary aim of the research is to develop a highly accessible deep learning (DL) model for classifying Aedes aegypti and Aedes albopictus mosquitoes, which are significant vectors of diseases like dengue fever. The study also aims to implement this model on hardware for real-time mosquito classification and evaluate its performance against human expert performance, with a focus on identifying mosquitoes that have age-related morphological changes, especially the loss of key features on the thorax.","Accurate classification is crucial for controlling the spread of diseases like dengue, as different mosquito species require different control strategies. Existing methods are time-consuming and not suitable for real-time field applications, highlighting the need for an automated, efficient model for mosquito identification in practical settings.","The objective of the AI in this study is to develop an automated deep learning model that can accurately classify Aedes aegypti and Aedes albopictus mosquitoes, even in cases where key morphological features are missing, in real-time, and deploy it on hardware for field use.","The methodology involves using deep convolutional neural networks (DCNNs) with transfer learning on a dataset of mosquito images, focusing on fine-tuning hyperparameters like the learning rate and number of epochs for optimal accuracy. The model is implemented through a web-based tool (Teachable Machine 2.0) for easy deployment on hardware (Aedes Detector) for real-time mosquito classification.","The study uses MobileNet, a lightweight deep convolutional neural network (DCNN), with transfer learning to classify Aedes aegypti and Aedes albopictus mosquitoes. The model leverages a pre-trained MobileNet model for feature extraction, fine-tuned on a custom dataset of 4,120 mosquito images. Key hyperparameters like learning rate (LR) and epochs are optimized for the best accuracy. The model is then deployed in real-time on hardware (Aedes Detector) using the p5.js platform for efficient, field-ready mosquito classification.",MobileNet Deep Convolutional Neural Network (DCNN) with Transfer Learning,https://www.kaggle.com/pradeepisawasan/aedes-mosquitos ,CC BY-NC-SA 4.0,"classification of mosquito species, specifically Aedes aegypti and Aedes albopictus, which are vectors of diseases like dengue fever", Mosquito Images,Ong et.al,Yes,"The performance of the mosquito classification model was assessed by focusing on the lateral view of the mosquitoes' thorax and head, which are key features for distinguishing between species. A hyperparameter analysis, adjusting factors like learning rate and epochs, was conducted to optimize the model’s accuracy. The findings were consistent with previous studies, confirming the importance of these parameters for achieving high performance in classification tasks.",{'Accuracy'},{'Accuracy': 0.98},
2,"Agarwal M, Agarwal S, Saba L, Chabert GL, Gupta S, Carriero A, Pasche A, Danna P, Mehmedovic A, Faa G, Shrivastava S, Jain K, Jain H, Jujaray T, Singh IM, Turk M, Chadha PS, Johri AM, Khanna NN, Mavrogeni S, Laird JR, Sobel DW, Miner M, Balestrieri A, Sfikakis PP, Tsoulfas G, Misra DP, Agarwal V, Kitas GD, Teji JS, Al-Maini M, Dhanjil SK, Nicolaides A, Sharma A, Rathore V, Fatemi M, Alizad A, Krishnan PR, Yadav RR, Nagy F, Kincses ZT, Ruzsa Z, Naidu S, Viskovic K, Kalra MK, Suri JS.",2022,"Department of Computer Science Engineering, Bennett University, India.",Eight pruning deep learning models for low storage and high-speed COVID-19 computed tomography lung segmentation and heatmap-based lesion localization: A multicenter study using COVLIAS 2.0,Comput Biol Med,Respiratory Virology,['COVID-19'],"Journal Article, Multicenter Study","The aim of the study is to develop and evaluate  COVLIAS 2.0, an AI system utilizing pruned deep learning models optimized with evolutionary algorithms to achieve high accuracy while drastically reducing storage requirements and processing time, making it suitable for real-time clinical applications.",improving the efficiency of deep learning models for COVID-19 lung segmentation and lesion localization in CT scans while maintaining their accuracy.,"The objective of the AI in this study is to optimize deep learning models used for COVID-19 lung segmentation and lesion localization in CT scans by reducing the number of parameters without compromising their accuracy, storage efficiency, and processing speed. The goal is to develop a pruned AI model that can perform real-time analysis with minimal computational resources, making it feasible for use in clinical settings where rapid and accurate diagnosis is essential.","This study uses pruned deep learning models to improve COVID-19 lung segmentation and lesion localization in CT scans. Two base models, Fully Convolutional Networks (FCN) and SegNet, are initially trained. Then, evolutionary algorithms like Differential Evolution (DE), Genetic Algorithm (GA), Particle Swarm Optimization (PSO), and Whale Optimization (WO) are applied to prune redundant parameters, reducing model size while maintaining performance. The pruned models are evaluated on CroMed and NovMed datasets and compared with MedSeg. For lesion localization, the segmented lung regions are passed through DenseNet-121, a convolutional neural network (CNN), which classifies the regions based on the presence of lesions. To further highlight lesion areas, the Grad-CAM technique is used, producing heatmaps that emphasize the regions most affected by COVID-19. The pruned, optimized models capable of performing both lung segmentation and lesion detection are then deployed for real-time clinical application, providing a high-speed, storage-efficient solution for COVID-19 diagnosis. ","In FCN-DE, the Differential Evolution (DE) algorithm optimizes the structure of the Fully Convolutional Network (FCN) by evolving a population of candidate solutions (models) over several generations. The DE algorithm uses mutation, crossover, and selection to modify the model’s weights and structure. During the pruning phase, neurons and layers that contribute minimally to the network's performance are eliminated, reducing the model’s size and enhancing its speed. The fitness of each candidate is evaluated based on accuracy and model compression, and the best solution is selected for further evolution.",FCN-DE ['Fully Connected Network with differential evolution (DE)'],No,No,COVID-19 lung segmentation and lesion localization in CT (computed tomography) scans of COVD-19 patients,chest CT scans ,CroMed data set,Yes,"The performance of the pruned models on the CroMed dataset was evaluated using several metrics to assess the accuracy of lung segmentation and lesion detection. The primary metrics included Dice Similarity to measure the overlap between the predicted and ground truth lung regions, Jaccard Index for assessing the similarity between the predicted and actual lung areas, and Correlation Coefficient to evaluate the linear correlation between predicted and true segmentation. These metrics were computed based on the predicted lung segmentations and compared against the manually annotated ground truth data provided by radiologists.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.93, 'Jaccard Index': 0.88, 'Correlation Coefficient': 0.97}",
,,,,,,,,,,,,,,,,,,,NovMed data set,Yes,"The models were further evaluated on the Unseen NovMed dataset to test their generalization to new, external data. The same performance metrics Dice Similarity, Jaccard Index, Correlation Coefficient were used to evaluate the lung segmentation results on this dataset. These metrics allowed for the measurement of how well the pruned models, trained on CroMed data, performed on a different dataset with distinct CT scan characteristics. The AUC and Dice Similarity values showed strong performance, confirming that the models were capable of accurately segmenting lung regions even on data they had never seen before, thus demonstrating their robustness and clinical applicability.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity:0.93', 'Jaccard Index:0.87', 'Correlation Coefficient:0.99'}",
,,,,,,,,,,,,,"FCN-GA uses the Genetic Algorithm to prune a Fully Convolutional Network by selecting the best-performing models from a population of candidate solutions. The algorithm optimizes the network by evolving its structure, reducing unnecessary components and ensuring high performance, leading to an efficient and compact model for lung segmentation",FCN-GA (Fully Convolutional Network with Genetic Algorithm),,,,,CroMed data set,Yes,"The performance of the pruned models on the CroMed dataset was evaluated using several metrics to assess the accuracy of lung segmentation and lesion detection. The primary metrics included Dice Similarity to measure the overlap between the predicted and ground truth lung regions, Jaccard Index for assessing the similarity between the predicted and actual lung areas, and Correlation Coefficient to evaluate the linear correlation between predicted and true segmentation. These metrics were computed based on the predicted lung segmentations and compared against the manually annotated ground truth data provided by radiologists.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.93, 'Jaccard Index': 0.87, 'Correlation Coefficient': 0.94}",
,,,,,,,,,,,,,,,,,,,NovMed data set,Yes,"The models were further evaluated on the Unseen NovMed dataset to test their generalization to new, external data. The same performance metrics Dice Similarity, Jaccard Index, Correlation Coefficient were used to evaluate the lung segmentation results on this dataset. These metrics allowed for the measurement of how well the pruned models, trained on CroMed data, performed on a different dataset with distinct CT scan characteristics. The AUC and Dice Similarity values showed strong performance, confirming that the models were capable of accurately segmenting lung regions even on data they had never seen before, thus demonstrating their robustness and clinical applicability.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.94, 'Jaccard Index': 0.88, 'Correlation Coefficient': 0.98}",
,,,,,,,,,,,,,"In FCN-PSO, Particle Swarm Optimization (PSO) is used to prune the Fully Convolutional Network by treating each particle in the swarm as a potential solution (model configuration). Each particle represents a specific arrangement of the network's neurons and layers, and through iterative movements in the search space, PSO adjusts the model's structure. The particles are attracted toward the best solutions, pruning unnecessary neurons and layers to improve both model efficiency and speed while maintaining accuracy. The optimization objective is to maximize segmentation performance while minimizing model size.",FCN-PSO (Fully Convolutional Network with Particle Swarm Optimization),,,,,CroMed data set,Yes,"The performance of the pruned models on the CroMed dataset was evaluated using several metrics to assess the accuracy of lung segmentation and lesion detection. The primary metrics included Dice Similarity to measure the overlap between the predicted and ground truth lung regions, Jaccard Index for assessing the similarity between the predicted and actual lung areas, and Correlation Coefficient to evaluate the linear correlation between predicted and true segmentation. These metrics were computed based on the predicted lung segmentations and compared against the manually annotated ground truth data provided by radiologists.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.92, 'Jaccard Index': 0.86, 'Correlation Coefficient': 0.97}",
,,,,,,,,,,,,,,,,,,,NovMed data set,Yes,"The models were further evaluated on the Unseen NovMed dataset to test their generalization to new, external data. The same performance metrics Dice Similarity, Jaccard Index, Correlation Coefficient were used to evaluate the lung segmentation results on this dataset. These metrics allowed for the measurement of how well the pruned models, trained on CroMed data, performed on a different dataset with distinct CT scan characteristics. The AUC and Dice Similarity values showed strong performance, confirming that the models were capable of accurately segmenting lung regions even on data they had never seen before, thus demonstrating their robustness and clinical applicability.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.91, 'Jaccard Index': 0.84, 'Correlation Coefficient': 0.98}",
,,,,,,,,,,,,,"In FCN-WO, Whale Optimization (WO) algorithm is used to prune the Fully Convolutional Network by simulating the behavior of humpback whales hunting prey. The WO algorithm adjusts the architecture of the FCN by iteratively exploring and exploiting possible network configurations. It uses a spiral search pattern to remove redundant layers and neurons, with the best solution being selected based on accuracy and compression. The algorithm ensures that while pruning, the network maintains high segmentation performance and is optimized for speed and storage efficiency.",FCN-WO (Fully Convolutional Network with Whale Optimization),,,,,CroMed data set,Yes,"The performance of the pruned models on the CroMed dataset was evaluated using several metrics to assess the accuracy of lung segmentation and lesion detection. The primary metrics included Dice Similarity to measure the overlap between the predicted and ground truth lung regions, Jaccard Index for assessing the similarity between the predicted and actual lung areas, and Correlation Coefficient to evaluate the linear correlation between predicted and true segmentation. These metrics were computed based on the predicted lung segmentations and compared against the manually annotated ground truth data provided by radiologists.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.94, 'Jaccard Index': 0.89, 'Correlation Coefficient': 0.97}",
,,,,,,,,,,,,,,,,,,,NovMed data set,Yes,"The models were further evaluated on the Unseen NovMed dataset to test their generalization to new, external data. The same performance metrics Dice Similarity, Jaccard Index, Correlation Coefficient were used to evaluate the lung segmentation results on this dataset. These metrics allowed for the measurement of how well the pruned models, trained on CroMed data, performed on a different dataset with distinct CT scan characteristics. The AUC and Dice Similarity values showed strong performance, confirming that the models were capable of accurately segmenting lung regions even on data they had never seen before, thus demonstrating their robustness and clinical applicability.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.94, 'Jaccard Index': 0.89, 'Correlation Coefficient': 0.99}",
,,,,,,,,,,,,,"In SegNet-DE, the Differential Evolution algorithm is used to optimize the SegNet architecture. The DE algorithm evolves the SegNet model by generating a population of solutions and applying mutation, crossover, and selection to refine the network. Each candidate model undergoes pruning by removing unnecessary neurons and layers, with the fitness of each model evaluated based on segmentation accuracy and storage efficiency. The DE algorithm helps reduce the network's size while ensuring that the performance is not compromised.",SegNet-DE (SegNet with Differential Evolution),,,,,CroMed data set,Yes,"The performance of the pruned models on the CroMed dataset was evaluated using several metrics to assess the accuracy of lung segmentation and lesion detection. The primary metrics included Dice Similarity to measure the overlap between the predicted and ground truth lung regions, Jaccard Index for assessing the similarity between the predicted and actual lung areas, and Correlation Coefficient to evaluate the linear correlation between predicted and true segmentation. These metrics were computed based on the predicted lung segmentations and compared against the manually annotated ground truth data provided by radiologists.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}"," {'Dice Similarity': 0.96, 'Jaccard Index': 0.92, 'Correlation Coefficient': 0.97}",
