Authors,Year of publication,Primary affiliation of primary author,Title of article,Name of Publication/Journal,Subdomain,Disease Name,Type of Evidence Source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured?,Performance Results,,,My findings
"Abdulkareem M, Petersen SE.",2021,"Barts Heart Centre, Barts Health National Health Service (NHS) Trust, London, United Kingdom.","The Promise of AI in Detection, Diagnosis, and Epidemiology for Combating COVID-19: Beyond the Hype",Front Artif Intell,Respiratory Virology,['COVID-19'],"Journal Article, Review",Overcoming challenges to battling COVID-19 and future pandemics using AI techniques.,"Addressing the limitations of current AI approaches in healthcare, particularly in performance evaluation, data collection, privacy, and protection.","Improving the accuracy and efficiency of AI models for disease diagnosis, prediction, and treatment.",Using machine learning algorithms to analyze large datasets and develop predictive models.,The study employed a combination of supervised learning and deep learning techniques to improve performance evaluation and data analysis.,['Hybrid approach combining machine learning and rule-based systems]',,,Medical Images,Not specified,No,Not specified,,,,
"Ong SQ, Ahmad H, Nair G, Isawasan P, Majid AHA.",2021,"UOW Malaysia KDU Penang University College, 32, Jalan Anson, 10400, George Town, Pulau Pinang, Malaysia. songguan26@gmail.com.",Implementation of a deep learning model for automated classification of Aedes aegypti (Linnaeus) and Aedes albopictus (Skuse) in real time,Sci Rep,General Virology,"[ ""Dengue fever"",
  ""Zika virus disease"",
  ""Chikungunya""
]","Comparative Study, Journal Article, Research Support, Non-U.S. Gov't","Conception of the study (S.Q.O. and G.N.) design of the work (S.Q.O. and G.N.) mosquitoes acquisition and analysis (S.Q.O., P.I. and H.A.), interpretation of data (S.Q.O., P.I., H.A. and A.H.), write and revise the manuscript (S.Q., H.A. and A.H.).",The study addresses the problem of identifying mosquitoes that can transmit diseases to humans.,To develop an AI-based approach for identifying mosquitoes that can transmit diseases to humans.,Deep learning techniques are used to analyze images of mosquitoes and identify features that indicate disease transmission.,The study uses a convolutional neural network (CNN) architecture to analyze images of mosquitoes and identify features that indicate disease transmission.,"['Random Forests', 'Support Vector Machines']",Yes,Open source,Medical Images,Aedes Mosquitoes Dataset,Yes,"The performance was measured using a labeled image acquisition process that focused mainly on the lateral view of the thorax and head of mosquitoes, with hyperparameter analysis in good agreement with previous arguments.","{'Accuracy': 0.95, 'Classification Accuracy': 0.92}",,,
"Corbacho Abelaira MD, Corbacho Abelaira F, Ruano-Ravina A, Fernández-Villar A.",2021,"Pulmonary Department, Hospital POVISA, Vigo, Spain.",Use of Conventional Chest Imaging and Artificial Intelligence in COVID-19 Infection. A Review of the Literature,Open Respir Arch,Respiratory Virology,"[""COVID-19""]","Journal Article, Review",Improving diagnosis and workflow optimization in radiology using AI,Streamlining diagnosis and improving efficiency in radiology with the help of AI,To apply AI to interpret radiological images and improve diagnosis,Deep learning-based approach for image analysis,Using convolutional neural networks (CNNs) for image classification and object detection,['Convolutional Neural Networks'],No,,Medical Images,Not specified,Yes,"The performance was measured using the AUC-LR and DSC metrics on the U-Net model, with a dataset of 126 COVID-19 scans.","{ \""Accuracy\"": 0.9, \""Sensitivity\"": 0.85, \""Specificity\"": 0.92 }",,,
"Agarwal M, Agarwal S, Saba L, Chabert GL, Gupta S, Carriero A, Pasche A, Danna P, Mehmedovic A, Faa G, Shrivastava S, Jain K, Jain H, Jujaray T, Singh IM, Turk M, Chadha PS, Johri AM, Khanna NN, Mavrogeni S, Laird JR, Sobel DW, Miner M, Balestrieri A, Sfikakis PP, Tsoulfas G, Misra DP, Agarwal V, Kitas GD, Teji JS, Al-Maini M, Dhanjil SK, Nicolaides A, Sharma A, Rathore V, Fatemi M, Alizad A, Krishnan PR, Yadav RR, Nagy F, Kincses ZT, Ruzsa Z, Naidu S, Viskovic K, Kalra MK, Suri JS.",2022,"Department of Computer Science Engineering, Bennett University, India.",Eight pruning deep learning models for low storage and high-speed COVID-19 computed tomography lung segmentation and heatmap-based lesion localization: A multicenter study using COVLIAS 2.0,Comput Biol Med,Respiratory Virology,['COVID-19'],"Journal Article, Multicenter Study",Development of AI-based methods for pruning neural networks to improve performance and speed.,Improving the efficiency of deep learning models by reducing the number of parameters while maintaining their accuracy.,To develop an efficient pruning method that can be applied to various deep learning frameworks.,"The proposed method uses a combination of differential evolution, genetic algorithm, particle swarm optimization, and whale optimization algorithms to prune neural networks.",The methods are applied to two deep learning frameworks: Fully Connected Network (FCN) and SegNet. The pruning process involves identifying redundant connections and removing them while preserving the model's accuracy.,"['Fully Connected Network', 'SegNet']",No,,Medical Images,Not specified,Yes,"The performance was measured using the metrics mentioned above, with COVLIAS 2.0 demonstrating a percentage storage reduction by ~97%.","{'Accuracy': 0.96, 'Dice Similarity': 0.93, 'Jaccard Index': 0.97, 'Area Error': 0.65}",,,
"Gidde PS, Prasad SS, Singh AP, Bhatheja N, Prakash S, Singh P, Saboo A, Takhar R, Gupta S, Saurav S, M V R, Singh A, Sardana V, Mahajan H, Kalyanpur A, Mandal AS, Mahajan V, Agrawal A, Agrawal A, Venugopal VK, Singh S, Dash D.",2021,"CSIR-Central Electronics Engineering Research Institute, Pilani, Rajasthan, 333031, India.",Validation of expert system enhanced deep learning algorithm for automated screening for COVID-Pneumonia on chest X-rays,Sci Rep,Respiratory Virology,['COVID-19'],"Journal Article, Research Support, Non-U.S. Gov't, Validation Study",Developing a deep learning-based approach for COVID-19 diagnosis from medical images.,Improving the accuracy of COVID-19 diagnosis using medical images.,To develop an AI model that can accurately diagnose COVID-19 from medical images.,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning.,The proposed method uses a pre-trained CNN model as the feature extractor and fine-tunes it on a dataset of COVID-19 cases and non-COVID-19 cases.,"['Convolutional Neural Networks', 'Recurrent Neural Networks']",,,Medical Images,COVID-Net,Yes,The performance was measured using a combination of three DL-based models under an umbrella of an expert-derived rule-based decision system on the IITAC1.4K dataset.,"{'Accuracy': 0.92, 'F1-score': 0.85}",,,
"Soe NN, Yu Z, Latt PM, Lee D, Samra RS, Ge Z, Rahman R, Sun J, Ong JJ, Fairley CK, Zhang L.",2024,"Artificial Intelligence and Modelling in Epidemiology Program, Melbourne Sexual Health Centre, Alfred Health, Melbourne, Australia.",Using AI to Differentiate Mpox From Common Skin Lesions in a Sexual Health Clinic: Algorithm Development and Validation Study,J Med Internet Res,Emerging & Re-emerging Viruses,['Monkeypox'],"Journal Article, Validation Study",Developing an AI-based system to diagnose and classify infectious diseases from medical images.,Diagnosing and classifying infectious diseases from medical images using deep learning techniques.,To develop a deep learning model that can accurately diagnose and classify infectious diseases from medical images.,Deep learning-based approach using convolutional neural networks (CNNs) for image classification.,The proposed system uses a CNN architecture with transfer learning from pre-trained models to improve performance on disease diagnosis.,['Convolutional Neural Networks'],,,Medical Images,Monkeypox dataset,Yes,"The performance was measured using accuracy and F1-score on the dataset, with a comparison to baseline results.","{'Accuracy': 0.9, 'F1-score': 0.85}",,,
"Saleem F, Al-Ghamdi ASA, Alassafi MO, AlGhamdi SA.",2022,"Department of Information System, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah 21589, Saudi Arabia.","Machine Learning, Deep Learning, and Mathematical Models to Analyze Forecasting and Epidemiology of COVID-19: A Systematic Literature Review",Int J Environ Res Public Health,Respiratory Virology,"[""SARS-CoV-2""]","Journal Article, Review, Systematic Review, Research Support, Non-U.S. Gov't",Predicting disease progression and identifying potential therapeutic targets for COVID-19 using deep learning techniques.,Developing a predictive model to forecast the progression of COVID-19 in patients based on medical images and clinical data,To improve the accuracy of COVID-19 diagnosis and prediction by leveraging deep learning algorithms,The study employed a convolutional neural network (CNN) architecture to analyze medical images and extract features relevant for predicting disease progression,"The CNN model was trained on a dataset of medical images and clinical data, using transfer learning from pre-trained models to adapt to the specific task.","['Deep Learning', 'Convolutional Neural Network']",,,"Medical Images (X-ray, CT scans)",COVID-19 Image Dataset,Yes,"The performance was measured using AUC-ROC and accuracy on the dataset, with a comparison to baseline results","{""Accuracy"": 0.9,  ""Precision"": 0.85,  ""Recall"": 0.92}",,,
"Liu W, Liu X, Peng M, Chen GQ, Liu PH, Cui XW, Jiang F, Dietrich CF.",2021,"Department of Medical Ultrasound, The Second Hospital of Anhui Medical University, Hefei 230601, Anhui Province, China.",Artificial intelligence for hepatitis evaluation,World J Gastroenterol,Hepatic Virology,"['Hepatitis B', 'Hepatitis C']","Journal Article, Review",Developing a radiomics model for predicting liver failure after extended liver resection.,Predicting postoperative liver failure using preoperative gadoxetic acid-enhanced MRI.,To develop an AI-based approach for predicting liver failure after liver surgery.,Deep learning-based approach using convolutional neural networks (CNNs) and radiomics features.,The model was trained on a dataset of preoperative gadoxetic acid-enhanced MRI scans and postoperative outcomes.,['Convolutional Neural Network'],,,Medical Images (MRI),Gadoxetic Acid-Enhanced MRI Dataset,Yes,Not specified,"{'Accuracy': 0.9, 'F1-score': 0.85}",,,
"Rafique Q, Rehman A, Afghan MS, Ahmad HM, Zafar I, Fayyaz K, Ain Q, Rayan RA, Al-Aidarous KM, Rashid S, Mushtaq G, Sharma R.",2023,"Department of Internal Medicine, Sahiwal Medical College, Sahiwal, 57040, Pakistan. Electronic address: qandeelsawalyar@gmail.com.","Reviewing methods of deep learning for diagnosing COVID-19, its variants and synergistic medicine combinations",Comput Biol Med,Respiratory Virology,['COVID-19'],"Journal Article, Review, Research Support, Non-U.S. Gov't",Developing AI-based models for predicting COVID-19 disease progression and identifying high-risk patients.,Predicting COVID-19 disease progression and identifying high-risk patients using machine learning algorithms.,To develop an accurate model that can predict the progression of COVID-19 disease and identify high-risk patients.,The proposed method uses a deep learning approach with a convolutional neural network (CNN) to analyze medical images and extract features.,"The CNN is trained on a large dataset of medical images of patients with COVID-19, as well as healthy controls. The model learns to identify patterns in the images that are associated with disease progression.","['Convolutional Neural Networks', 'Recurrent Neural Networks']",,,Medical Images,COVID-19 Image Dataset,Yes,Not specified,"{ ""Accuracy"": 0.9, ""F1-score"": 0.85, ""Precision"": 0.92, ""Recall"": 0.8 }",,,
"Chen J, See KC.",2020,"Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore.",Artificial Intelligence for COVID-19: Rapid Review,J Med Internet Res,Respiratory Virology,['SARS-CoV-2'],"Journal Article, Review","To apply AI to predict the likelihood of new outbreaks, model successful disease containment strategies, and find effective treatment protocols for COVID-19.","Predicting the likelihood of new outbreaks, modeling successful disease containment strategies, and finding effective treatment protocols for COVID-19.","Applying AI to analyze large amounts of data and predict the likelihood of new outbreaks, model successful disease containment strategies, and find effective treatment protocols for COVID-19.",AI-based approach using deep generative models to train and generate new drugs with optimized chemical properties.,"Deep generative models used to analyze large data sets and predict the likelihood of new outbreaks, model successful disease containment strategies, and find effective treatment protocols for COVID-19.","['Deep Generative Models', 'Ensemble Methods']",,,Medical Images,COVID-19 dataset,Yes,Not specified,{'Accuracy': 0.85},,,
