Authors,Year of publication,Title of article,Name of Publication/Journal,Title,authors,category,date,Abstract,doi,source_file,Combined_Text,Is_infectious,Is_infectious
"Ebrahimi, M.; Ahsan, R.",2018,"The First Implication of Image Processing Techniques on Influenza A Virus Sub-Typing Based on HA/NA Protein Sequences, using Convolutional Deep Neural Network",Bioinformatics,"The First Implication of Image Processing Techniques on Influenza A Virus Sub-Typing Based on HA/NA Protein Sequences, using Convolutional Deep Neural Network","Ebrahimi, M.; Ahsan, R.",Bioinformatics,2018-10-19 00:00:00 UTC,"Increase in influenza A virus host range throughout its evolution has given rise to major concerns worldwide. Although the increasing host range mechanism of the virus is largely unknown; persistent genetic mutations have been blamed as a key factor in the re-organization of the host response and the host range. To uncover the underlying core bases of the two important antigenic proteins of influenza virus (HA and NA), functional data mining and image processing analysis of over 8000 protein sequences of different HA and NA subtypes were performed. Each amino acid sequence in HA or NA proteins sat as a feature or variable and two polynomial datasets were created and subjected into conventional prediction models. The average accuracies of these predictive models for HA subtype classifications ranged from 38.9% for SVM to 87.2% for Decision Tree models. NA subtype classification with conventional prediction models varied from 81.3% to 99.87% for SVM and KNN models, respectively. Then amino acid sequence datasets were converted to binary images; subtypes feature sat as target variable, and target label determined by image processing convolution neural network. The performances of Image processing models (convolutional neural network) on binary images for both HA and NA datasets reached to 100%; and the application of Gabor2 filter decreased the time for the predicting model to reach the best performance for HA subtype; while it increased the epochs time for NA subtype classification.\n\nFor the first time ever, converting influenza virus HA and NA amino acid sequences into the binary image datasets and their classifications by convolution neural network increased the prediction accuracies and performances to the highest possible point. The finding of this paper paves new avenues for virus classification based on antigenic HA and NA amino acid profiles, and easily classifying and predicting the possible future emerging strains of pandemic influenza.",10.1101/448159,virology-computer-vision.xlsx,"The First Implication of Image Processing Techniques on Influenza A Virus Sub-Typing Based on HA/NA Protein Sequences, using Convolutional Deep Neural Network Increase in influenza A virus host range throughout its evolution has given rise to major concerns worldwide. Although the increasing host range mechanism of the virus is largely unknown; persistent genetic mutations have been blamed as a key factor in the re-organization of the host response and the host range. To uncover the underlying core bases of the two important antigenic proteins of influenza virus (HA and NA), functional data mining and image processing analysis of over 8000 protein sequences of different HA and NA subtypes were performed. Each amino acid sequence in HA or NA proteins sat as a feature or variable and two polynomial datasets were created and subjected into conventional prediction models. The average accuracies of these predictive models for HA subtype classifications ranged from 38.9% for SVM to 87.2% for Decision Tree models. NA subtype classification with conventional prediction models varied from 81.3% to 99.87% for SVM and KNN models, respectively. Then amino acid sequence datasets were converted to binary images; subtypes feature sat as target variable, and target label determined by image processing convolution neural network. The performances of Image processing models (convolutional neural network) on binary images for both HA and NA datasets reached to 100%; and the application of Gabor2 filter decreased the time for the predicting model to reach the best performance for HA subtype; while it increased the epochs time for NA subtype classification.\n\nFor the first time ever, converting influenza virus HA and NA amino acid sequences into the binary image datasets and their classifications by convolution neural network increased the prediction accuracies and performances to the highest possible point. The finding of this paper paves new avenues for virus classification based on antigenic HA and NA amino acid profiles, and easily classifying and predicting the possible future emerging strains of pandemic influenza.",1,1
"Venna, S. R.; Tavanaei, A.; Gottumukkala, R. N.; Raghavan, V. V.; Maida, A.; Nichols, S.",2017,A novel data-driven model for real-time influenza forecasting,Epidemiology,A novel data-driven model for real-time influenza forecasting,"Venna, S. R.; Tavanaei, A.; Gottumukkala, R. N.; Raghavan, V. V.; Maida, A.; Nichols, S.",Epidemiology,2017-09-08 00:00:00 UTC,"We provide data-driven machine learning methods that are capable of making real-time influenza forecasts that integrate the impacts of climatic factors and geographical proximity to achieve better forecasting performance. The key contributions of our approach are both applying deep learning methods and incorporation of environmental and spatio-temporal factors to improve the performance of the influenza forecasting models. We evaluate the method on Influenza Like Illness (ILI) counts and climatic data, both publicly available data sets. Our proposed method outperforms existing known influenza forecasting methods in terms of their Mean Absolute Percentage Error and Root Mean Square Error. The key advantages of the proposed data-driven methods are as following: (1) The deep-learning model was able to effectively capture the temporal dynamics of flu spread in different geographical regions, (2) The extensions to the deep-learning model capture the influence of external variables that include the geographical proximity and climatic variables such as humidity, temperature, precipitation and sun exposure in future stages, (3) The model consistently performs well for both the city scale and the regional scale on the Google Flu Trends (GFT) and Center for Disease Control (CDC) flu counts. The results offer a promising direction in terms of both data-driven forecasting methods and capturing the influence of spatio-temporal and environmental factors for influenza forecasting methods.",10.1101/185512,virology-deep-learning.xlsx,"A novel data-driven model for real-time influenza forecasting We provide data-driven machine learning methods that are capable of making real-time influenza forecasts that integrate the impacts of climatic factors and geographical proximity to achieve better forecasting performance. The key contributions of our approach are both applying deep learning methods and incorporation of environmental and spatio-temporal factors to improve the performance of the influenza forecasting models. We evaluate the method on Influenza Like Illness (ILI) counts and climatic data, both publicly available data sets. Our proposed method outperforms existing known influenza forecasting methods in terms of their Mean Absolute Percentage Error and Root Mean Square Error. The key advantages of the proposed data-driven methods are as following: (1) The deep-learning model was able to effectively capture the temporal dynamics of flu spread in different geographical regions, (2) The extensions to the deep-learning model capture the influence of external variables that include the geographical proximity and climatic variables such as humidity, temperature, precipitation and sun exposure in future stages, (3) The model consistently performs well for both the city scale and the regional scale on the Google Flu Trends (GFT) and Center for Disease Control (CDC) flu counts. The results offer a promising direction in terms of both data-driven forecasting methods and capturing the influence of spatio-temporal and environmental factors for influenza forecasting methods.",1,1
"Bartoszewicz, J. M.; Seidel, A.; Renard, B. Y.",2021,Interpretable detection of novel human viruses from genome sequencing data,Bioinformatics,Interpretable detection of novel human viruses from genome sequencing data,"Bartoszewicz, J. M.; Seidel, A.; Renard, B. Y.",Bioinformatics,2021-01-04 00:00:00 UTC,"Viruses evolve extremely quickly, so reliable methods for viral host prediction are necessary to safeguard biosecurity and biosafety alike. Novel human-infecting viruses are difficult to detect with standard bioinformatics workflows. Here, we predict whether a virus can infect humans directly from next-generation sequencing reads. We show that deep neural architectures significantly outperform both shallow machine learning and standard, homology-based algorithms, cutting the error rates in half and generalizing to taxonomic units distant from those presented during training. Further, we develop a suite of interpretability tools and show that it can be applied also to other models beyond the host prediction task. We propose a new approach for convolutional filter visualization to disentangle the information content of each nucleotide from its contribution to the final classification decision. Nucleotide-resolution maps of the learned associations between pathogen genomes and the infectious phenotype can be used to detect regions of interest in novel agents, for example the SARS-CoV-2 coronavirus, unknown before it caused a COVID-19 pandemic in 2020. All methods presented here are implemented as easy-to-install packages enabling analysis of NGS datasets without requiring any deep learning skills, but also allowing advanced users to easily train and explain new models for genomics.",10.1101/2020.01.29.925354,virology-deep-learning.xlsx,"Interpretable detection of novel human viruses from genome sequencing data Viruses evolve extremely quickly, so reliable methods for viral host prediction are necessary to safeguard biosecurity and biosafety alike. Novel human-infecting viruses are difficult to detect with standard bioinformatics workflows. Here, we predict whether a virus can infect humans directly from next-generation sequencing reads. We show that deep neural architectures significantly outperform both shallow machine learning and standard, homology-based algorithms, cutting the error rates in half and generalizing to taxonomic units distant from those presented during training. Further, we develop a suite of interpretability tools and show that it can be applied also to other models beyond the host prediction task. We propose a new approach for convolutional filter visualization to disentangle the information content of each nucleotide from its contribution to the final classification decision. Nucleotide-resolution maps of the learned associations between pathogen genomes and the infectious phenotype can be used to detect regions of interest in novel agents, for example the SARS-CoV-2 coronavirus, unknown before it caused a COVID-19 pandemic in 2020. All methods presented here are implemented as easy-to-install packages enabling analysis of NGS datasets without requiring any deep learning skills, but also allowing advanced users to easily train and explain new models for genomics.",1,1
"Beck, B. R.; Shin, B.; Choi, Y.; Park, S.; Kang, K.",2020,"Predicting commercially available antiviral drugs that may act on the novel coronavirus (2019-nCoV), Wuhan, China through a drug-target interaction deep learning model",Microbiology,"Predicting commercially available antiviral drugs that may act on the novel coronavirus (2019-nCoV), Wuhan, China through a drug-target interaction deep learning model","Beck, B. R.; Shin, B.; Choi, Y.; Park, S.; Kang, K.",Microbiology,2020-02-02 00:00:00 UTC,"The infection of a novel coronavirus found in Wuhan of China (2019-nCoV) is rapidly spreading, and the incidence rate is increasing worldwide. Due to the lack of effective treatment options for 2019-nCoV, various strategies are being tested in China, including drug repurposing. In this study, we used our pretrained deep learning-based drug-target interaction model called Molecule Transformer-Drug Target Interaction (MT-DTI) to identify commercially available drugs that could act on viral proteins of 2019-nCoV. The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing a inhibitory potency with Kd of 94.94 nM against the 2019-nCoV 3C-like proteinase, followed by efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM). Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases. However, in our prediction, they may also bind to the replication complex components of 2019-nCoV with an inhibitory potency with Kd < 1000 nM. In addition, we also found that several antiviral agents, such as Kaletra, could be used for the treatment of 2019-nCoV, although there is no real-world evidence supporting the prediction. Overall, we suggest that the list of antiviral drugs identified by the MT-DTI model should be considered, when establishing effective treatment strategies for 2019-nCoV.",10.1101/2020.01.31.929547,virology-deep-learning.xlsx,"Predicting commercially available antiviral drugs that may act on the novel coronavirus (2019-nCoV), Wuhan, China through a drug-target interaction deep learning model The infection of a novel coronavirus found in Wuhan of China (2019-nCoV) is rapidly spreading, and the incidence rate is increasing worldwide. Due to the lack of effective treatment options for 2019-nCoV, various strategies are being tested in China, including drug repurposing. In this study, we used our pretrained deep learning-based drug-target interaction model called Molecule Transformer-Drug Target Interaction (MT-DTI) to identify commercially available drugs that could act on viral proteins of 2019-nCoV. The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing a inhibitory potency with Kd of 94.94 nM against the 2019-nCoV 3C-like proteinase, followed by efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM). Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases. However, in our prediction, they may also bind to the replication complex components of 2019-nCoV with an inhibitory potency with Kd < 1000 nM. In addition, we also found that several antiviral agents, such as Kaletra, could be used for the treatment of 2019-nCoV, although there is no real-world evidence supporting the prediction. Overall, we suggest that the list of antiviral drugs identified by the MT-DTI model should be considered, when establishing effective treatment strategies for 2019-nCoV.",0,1
"Joshi, B. P.; Bakrola, V. D.; Shah, P.; Krishnamurthy, R.",2020,deepMINE - Natural Language Processing based Automatic Literature Mining and Research Summarization for Early Stage Comprehension in Pandemic Situations specifically for COVID-19,Bioinformatics,deepMINE - Natural Language Processing based Automatic Literature Mining and Research Summarization for Early Stage Comprehension in Pandemic Situations specifically for COVID-19,"Joshi, B. P.; Bakrola, V. D.; Shah, P.; Krishnamurthy, R.",Bioinformatics,2020-04-02 00:00:00 UTC,"The recent pandemic created due to Novel Coronavirus (nCOV-2019) from Wuhan, China demanding a large scale of a general health emergency. This demands novel research on the vaccine to fight against this pandemic situation, re-purposing of the existing drugs, phylogenetic analysis to identify the origin and determine the similarity with other known viruses, etc. The very preliminary task from the research community is to analyze the wide verities of existing related research articles, which is very much time-consuming in such situations where each minute counts for saving hundreds of human lives. The entire manual processing is even lower down the efficiency in mining the information. We have developed a complete automatic literature mining system that delivers efficient and fast mining from existing biomedical literature databases. With the help of modern-day deep learning algorithms, our system also delivers a summarization of important research articles that provides ease and fast comprehension of critical research articles. The system is currently scanning nearly 1,46,115,136 English words from 29,315 research articles in not greater than 1.5 seconds with multiple search keywords. Our research article presents the criticality of literature mining, especially in pandemic situations with the implementation and online deployment of the system.",10.1101/2020.03.30.014555,virology-deep-learning.xlsx,"deepMINE - Natural Language Processing based Automatic Literature Mining and Research Summarization for Early Stage Comprehension in Pandemic Situations specifically for COVID-19 The recent pandemic created due to Novel Coronavirus (nCOV-2019) from Wuhan, China demanding a large scale of a general health emergency. This demands novel research on the vaccine to fight against this pandemic situation, re-purposing of the existing drugs, phylogenetic analysis to identify the origin and determine the similarity with other known viruses, etc. The very preliminary task from the research community is to analyze the wide verities of existing related research articles, which is very much time-consuming in such situations where each minute counts for saving hundreds of human lives. The entire manual processing is even lower down the efficiency in mining the information. We have developed a complete automatic literature mining system that delivers efficient and fast mining from existing biomedical literature databases. With the help of modern-day deep learning algorithms, our system also delivers a summarization of important research articles that provides ease and fast comprehension of critical research articles. The system is currently scanning nearly 1,46,115,136 English words from 29,315 research articles in not greater than 1.5 seconds with multiple search keywords. Our research article presents the criticality of literature mining, especially in pandemic situations with the implementation and online deployment of the system.",1,1
"Widrich, M.; Scha?fl, B.; Pavlovic, M.; Ramsauer, H.; Gruber, L.; Holzleitner, M.; Brandstetter, J.; Sandve, G. K.; Greiff, V.; Hochreiter, S.; Klambauer, G.",2020,Modern Hopfield Networks and Attention for Immune Repertoire Classification,Bioinformatics,Modern Hopfield Networks and Attention for Immune Repertoire Classification,"Widrich, M.; Scha?fl, B.; Pavlovic, M.; Ramsauer, H.; Gruber, L.; Holzleitner, M.; Brandstetter, J.; Sandve, G. K.; Greiff, V.; Hochreiter, S.; Klambauer, G.",Bioinformatics,2020-08-17 00:00:00 UTC,"A central mechanism in machine learning is to identify, store, and recognize patterns. How to learn, access, and retrieve such patterns is crucial in Hopfield networks and the more recent transformer architectures. We show that the attention mechanism of transformer architectures is actually the update rule of modern Hop-field networks that can store exponentially many patterns. We exploit this high storage capacity of modern Hopfield networks to solve a challenging multiple instance learning (MIL) problem in computational biology: immune repertoire classification. Accurate and interpretable machine learning methods solving this problem could pave the way towards new vaccines and therapies, which is currently a very relevant research topic intensified by the COVID-19 crisis. Immune repertoire classification based on the vast number of immunosequences of an individual is a MIL problem with an unprecedentedly massive number of instances, two orders of magnitude larger than currently considered problems, and with an extremely low witness rate. In this work, we present our novel method DeepRC that integrates transformer-like attention, or equivalently modern Hopfield networks, into deep learning architectures for massive MIL such as immune repertoire classification. We demonstrate that DeepRC outperforms all other methods with respect to predictive performance on large-scale experiments, including simulated and real-world virus infection data, and enables the extraction of sequence motifs that are connected to a given disease class. Source code and datasets: https://github.com/ml-jku/DeepRC",10.1101/2020.04.12.038158,virology-deep-learning.xlsx,"Modern Hopfield Networks and Attention for Immune Repertoire Classification A central mechanism in machine learning is to identify, store, and recognize patterns. How to learn, access, and retrieve such patterns is crucial in Hopfield networks and the more recent transformer architectures. We show that the attention mechanism of transformer architectures is actually the update rule of modern Hop-field networks that can store exponentially many patterns. We exploit this high storage capacity of modern Hopfield networks to solve a challenging multiple instance learning (MIL) problem in computational biology: immune repertoire classification. Accurate and interpretable machine learning methods solving this problem could pave the way towards new vaccines and therapies, which is currently a very relevant research topic intensified by the COVID-19 crisis. Immune repertoire classification based on the vast number of immunosequences of an individual is a MIL problem with an unprecedentedly massive number of instances, two orders of magnitude larger than currently considered problems, and with an extremely low witness rate. In this work, we present our novel method DeepRC that integrates transformer-like attention, or equivalently modern Hopfield networks, into deep learning architectures for massive MIL such as immune repertoire classification. We demonstrate that DeepRC outperforms all other methods with respect to predictive performance on large-scale experiments, including simulated and real-world virus infection data, and enables the extraction of sequence motifs that are connected to a given disease class. Source code and datasets: https://github.com/ml-jku/DeepRC",1,1
"Liu-Wei, W.; Kafkas, S.; Chen, J.; Dimonaco, N.; Tegner, J.; Hoehndorf, R.",2020,DeepViral: infectious disease phenotypes improve prediction of novel virus-host interactions,Bioinformatics,DeepViral: infectious disease phenotypes improve prediction of novel virus-host interactions,"Liu-Wei, W.; Kafkas, S.; Chen, J.; Dimonaco, N.; Tegner, J.; Hoehndorf, R.",Bioinformatics,2020-08-12 00:00:00 UTC,"MotivationInfectious diseases from novel viruses have become a major public health concern. Rapid identification of virus-host interactions can reveal mechanistic insights into infectious diseases and shed light on potential treatments. Current computational prediction methods for novel viruses are based mainly on protein sequences. However, it is not clear to what extent other important features, such as the symptoms caused by the viruses, could contribute to a predictor. Disease phenotypes (i.e., signs and symptoms) are readily accessible from clinical diagnosis and we hypothesize that they may act as a potential proxy and an additional source of information for the underlying molecular interactions between the pathogens and hosts.

ResultsWe developed DeepViral, a deep learning based method that predicts protein-protein interactions (PPI) between humans and viruses. Motivated by the potential utility of infectious disease phenotypes, we first embedded human proteins and viruses in a shared space using their associated phenotypes and functions, supported by formalized background knowledge from biomedical ontologies. By jointly learning from protein sequences and phenotype features, DeepViral significantly improves over existing sequence-based methods for intra- and inter-species PPI prediction. Lastly, we propose a novel experimental setup to realistically evaluate prediction methods for novel viruses.

Availabilityhttps://github.com/bio-ontology-research-group/DeepViral

Contactrobert.hoehndorf@kaust.edu.sa",10.1101/2020.04.22.055095,virology-deep-learning.xlsx,"DeepViral: infectious disease phenotypes improve prediction of novel virus-host interactions MotivationInfectious diseases from novel viruses have become a major public health concern. Rapid identification of virus-host interactions can reveal mechanistic insights into infectious diseases and shed light on potential treatments. Current computational prediction methods for novel viruses are based mainly on protein sequences. However, it is not clear to what extent other important features, such as the symptoms caused by the viruses, could contribute to a predictor. Disease phenotypes (i.e., signs and symptoms) are readily accessible from clinical diagnosis and we hypothesize that they may act as a potential proxy and an additional source of information for the underlying molecular interactions between the pathogens and hosts.

ResultsWe developed DeepViral, a deep learning based method that predicts protein-protein interactions (PPI) between humans and viruses. Motivated by the potential utility of infectious disease phenotypes, we first embedded human proteins and viruses in a shared space using their associated phenotypes and functions, supported by formalized background knowledge from biomedical ontologies. By jointly learning from protein sequences and phenotype features, DeepViral significantly improves over existing sequence-based methods for intra- and inter-species PPI prediction. Lastly, we propose a novel experimental setup to realistically evaluate prediction methods for novel viruses.

Availabilityhttps://github.com/bio-ontology-research-group/DeepViral

Contactrobert.hoehndorf@kaust.edu.sa",0,1
"Habib, P.; Alsamman, A. M.; Saber-Ayad, M.; Hassanein, S. E.; Hamwieh, A.",2020,COVIDier: A Deep-learning Tool For Coronaviruses Genome And Virulence Proteins Classification,Bioinformatics,COVIDier: A Deep-learning Tool For Coronaviruses Genome And Virulence Proteins Classification,"Habib, P.; Alsamman, A. M.; Saber-Ayad, M.; Hassanein, S. E.; Hamwieh, A.",Bioinformatics,2020-05-05 00:00:00 UTC,"COVID-19, caused by SARS-CoV-2 infection, has already reached pandemic proportions in a matter of a few weeks. At the time of writing this manuscript, the unprecedented public health crisis caused more than 2.5 million cases with a mortality range of 5-7%. The SARS-CoV-2, also called novel Coronavirus, is related to both SARS-CoV and bat SARS. Great efforts have been spent to control the pandemic that has become a significant burden on the health systems in a short time. Since the emergence of the crisis, a great number of researchers started to use the AI tools to identify drugs, diagnosing using CT scan images, scanning body temperature, and classifying the severity of the disease. The emergence of variants of the SARS-CoV-2 genome is a challenging problem with expected serious consequences on the management of the disease. Here, we introduce COVIDier, a deep learning-based software that is enabled to classify the different genomes of Alpha coronavirus, Beta coronavirus, MERS, SARS-CoV-1, SARS-CoV-2, and bronchitis-CoV. COVIDier was trained on 1925 genomes, belonging to the three families of SARS retrieved from NCBI Database to propose a new method to train deep learning model trained on genome data using Multi-layer Perceptron Classifier (MLPClassifier), a deep learning algorithm, that could blindly predict the virus family name from the genome of by predicting the statistically similar genome from training data to the given genome. COVIDier able to predict how close the emerging novel genomes of SARS to the known genomes with accuracy 99%. COVIDier can replace tools like BLAST that consume higher CPU and time.",10.1101/2020.05.03.075549,virology-deep-learning.xlsx,"COVIDier: A Deep-learning Tool For Coronaviruses Genome And Virulence Proteins Classification COVID-19, caused by SARS-CoV-2 infection, has already reached pandemic proportions in a matter of a few weeks. At the time of writing this manuscript, the unprecedented public health crisis caused more than 2.5 million cases with a mortality range of 5-7%. The SARS-CoV-2, also called novel Coronavirus, is related to both SARS-CoV and bat SARS. Great efforts have been spent to control the pandemic that has become a significant burden on the health systems in a short time. Since the emergence of the crisis, a great number of researchers started to use the AI tools to identify drugs, diagnosing using CT scan images, scanning body temperature, and classifying the severity of the disease. The emergence of variants of the SARS-CoV-2 genome is a challenging problem with expected serious consequences on the management of the disease. Here, we introduce COVIDier, a deep learning-based software that is enabled to classify the different genomes of Alpha coronavirus, Beta coronavirus, MERS, SARS-CoV-1, SARS-CoV-2, and bronchitis-CoV. COVIDier was trained on 1925 genomes, belonging to the three families of SARS retrieved from NCBI Database to propose a new method to train deep learning model trained on genome data using Multi-layer Perceptron Classifier (MLPClassifier), a deep learning algorithm, that could blindly predict the virus family name from the genome of by predicting the statistically similar genome from training data to the given genome. COVIDier able to predict how close the emerging novel genomes of SARS to the known genomes with accuracy 99%. COVIDier can replace tools like BLAST that consume higher CPU and time.",1,1
"Sawmya, S.; Saha, A.; Tasnim, S.; Toufikuzzaman, M.; Anjum, N.; Rafid, A. H. M.; Rahman, M. S.; Rahman, M. S.",2021,Analyzing hCov Genome Sequences: Predicting Virulence and Mutation,Bioinformatics,Analyzing hCov Genome Sequences: Predicting Virulence and Mutation,"Sawmya, S.; Saha, A.; Tasnim, S.; Toufikuzzaman, M.; Anjum, N.; Rafid, A. H. M.; Rahman, M. S.; Rahman, M. S.",Bioinformatics,2021-04-20 00:00:00 UTC,"BackgroundCovid-19 pandemic, caused by the SARS-CoV-2 genome sequence of coronavirus, has affected millions of people all over the world and taken thousands of lives. It is of utmost importance that the character of this deadly virus be studied and its nature be analyzed.

MethodsWe present here an analysis pipeline comprising a classification exercise to identify the virulence of the genome sequences and extraction of important features from its genetic material that are used subsequently to predict mutation at those interesting sites using deep learning techniques.

ResultsWe have classified the SARS-CoV-2 genome sequences with high accuracy and predicted the mutations in the sites of Interest.

ConclusionsIn a nutshell, we have prepared an analysis pipeline for hCov genome sequences leveraging the power of machine intelligence and uncovered what remained apparently shrouded by raw data.",10.1101/2020.06.03.131987,virology-deep-learning.xlsx,"Analyzing hCov Genome Sequences: Predicting Virulence and Mutation BackgroundCovid-19 pandemic, caused by the SARS-CoV-2 genome sequence of coronavirus, has affected millions of people all over the world and taken thousands of lives. It is of utmost importance that the character of this deadly virus be studied and its nature be analyzed.

MethodsWe present here an analysis pipeline comprising a classification exercise to identify the virulence of the genome sequences and extraction of important features from its genetic material that are used subsequently to predict mutation at those interesting sites using deep learning techniques.

ResultsWe have classified the SARS-CoV-2 genome sequences with high accuracy and predicted the mutations in the sites of Interest.

ConclusionsIn a nutshell, we have prepared an analysis pipeline for hCov genome sequences leveraging the power of machine intelligence and uncovered what remained apparently shrouded by raw data.",1,1
"Nguyen, T. T.; Pathirana, P. N.; Nguyen, T.; Nguyen, Q. V. H.; Bhatti, A.; Nguyen, D. C.; Nguyen, D. T.; Nguyen, N. D.; Creighton, D.; Abdelrazek, M.",2021,Genomic Mutations and Changes in Protein Secondary Structure and Solvent Accessibility of SARS-CoV-2 (COVID-19 Virus),Bioinformatics,Genomic Mutations and Changes in Protein Secondary Structure and Solvent Accessibility of SARS-CoV-2 (COVID-19 Virus),"Nguyen, T. T.; Pathirana, P. N.; Nguyen, T.; Nguyen, Q. V. H.; Bhatti, A.; Nguyen, D. C.; Nguyen, D. T.; Nguyen, N. D.; Creighton, D.; Abdelrazek, M.",Bioinformatics,2021-01-22 00:00:00 UTC,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a highly pathogenic virus that has caused the global COVID-19 pandemic. Tracing the evolution and transmission of the virus is crucial to respond to and control the pandemic through appropriate intervention strategies. This paper reports and analyses genomic mutations in the coding regions of SARS-CoV-2 and their probable protein secondary structure and solvent accessibility changes, which are predicted using deep learning models. Prediction results suggest that mutation D614G in the virus spike protein, which has attracted much attention from researchers, is unlikely to make changes in protein secondary structure and relative solvent accessibility. Based on 6,324 viral genome sequences, we create a spreadsheet dataset of point mutations that can facilitate the investigation of SARS-CoV-2 in many perspectives, especially in tracing the evolution and worldwide spread of the virus. Our analysis results also show that coding genes E, M, ORF6, ORF7a, ORF7b and ORF10 are most stable, potentially suitable to be targeted for vaccine and drug development.",10.1101/2020.07.10.171769,virology-deep-learning.xlsx,"Genomic Mutations and Changes in Protein Secondary Structure and Solvent Accessibility of SARS-CoV-2 (COVID-19 Virus) Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a highly pathogenic virus that has caused the global COVID-19 pandemic. Tracing the evolution and transmission of the virus is crucial to respond to and control the pandemic through appropriate intervention strategies. This paper reports and analyses genomic mutations in the coding regions of SARS-CoV-2 and their probable protein secondary structure and solvent accessibility changes, which are predicted using deep learning models. Prediction results suggest that mutation D614G in the virus spike protein, which has attracted much attention from researchers, is unlikely to make changes in protein secondary structure and relative solvent accessibility. Based on 6,324 viral genome sequences, we create a spreadsheet dataset of point mutations that can facilitate the investigation of SARS-CoV-2 in many perspectives, especially in tracing the evolution and worldwide spread of the virus. Our analysis results also show that coding genes E, M, ORF6, ORF7a, ORF7b and ORF10 are most stable, potentially suitable to be targeted for vaccine and drug development.",0,1
