Sl. No,Authors,Year of publication,Primary affiliation of primary author,Title,Name of publication,Subdomain,Disease Name,doi,Type of evidence source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Virology AI task addressed,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured and what was measured?,Performance metrics,Performance score
1,"Amyar, A.; Modzelewski, R.; Ruan, S.",2020,"Artificial Intelligence and Modelling in Epidemiology Program, Melbourne Sexual Health Centre, Alfred Health, Melbourne, Australia.",Multi-task Deep Learning Based CT Imaging Analysis For COVID-19: Classification and Segmentation,MedRxiv,Emerging & Re-emerging Viruses,['COVID-19'],10.1101/2020.04.16.20064709,Research,The aim of this study is to develop a multi-task deep learning model that can jointly classify COVID-19 cases and segment lung lesions from chest CT images,"Existing deep learning models for CT-based COVID-19 detection often rely on separate architectures for classification and segmentation, missing the opportunity to exploit shared features between tasks.","To develop a multi-task deep learning model that can simultaneously classify COVID-19 cases and segment infected lung regions in chest CT images, while improving feature representation and minimizing overfitting through shared learning and an auxiliary image reconstruction task.","The study employs a multi-task learning (MTL) framework with hard parameter sharing to address the limitations of existing COVID-19 detection models. In MTL, multiple related tasks are learned jointly, allowing the model to share representations and improve generalization. The authors designed a unified architecture that learns from three tasks simultaneously: image reconstruction, lesion segmentation, and COVID-19 classification. The rationale behind this setup is that learning a shared feature representation across tasks allows the model to extract more robust and discriminative features, particularly in the presence of limited labeled data. Hard parameter sharing is used, meaning that the encoder’s parameters are shared across all tasks, while each task has its own task-specific output layers (decoders or MLP). This approach not only reduces overfitting by regularizing the shared parameters but also allows auxiliary tasks (like reconstruction) to act as regularizers that stabilize training and enhance the quality of learned representations. The methodology is validated across three experiments: task combination tuning, comparison with U-Net for segmentation, and comparison with a CNN for classification.","The proposed method is a multi-task deep learning model composed of a shared 2D U-Net-based encoder and three task-specific branches: one for image reconstruction, another for infection segmentation, and a third for COVID-19 classification using a multi-layer perceptron (MLP). The encoder extracts deep feature representations from CT images, which are then passed to two decoders (for reconstruction and segmentation) and a classifier head (for binary classification). The reconstruction decoder is trained using mean squared error, the segmentation decoder uses dice loss with sigmoid activation, and the classification head uses binary cross-entropy loss with a sigmoid output. The entire model is optimized jointly using the Adam optimizer with a learning rate of 0.0001 and early stopping after 35 epochs. Input images are resized to 256×256 pixels and intensity-normalized to ensure consistency across datasets. The inclusion of an image reconstruction task, although not a primary objective, serves to improve the encoder’s capacity to generalize across tasks, thereby enhancing both segmentation and classification performance. Experimental results demonstrate the superiority of the multi-task approach over single-task models like standalone U-NET and CNNs.",MT-UNet-COVID: Multi-Task U-Net-Based Model for COVID-19 Detection and Lesion Segmentation,No,No,Automated detection and analysis of COVID-19 infection from chest CT imaging,CT images,Amyar et.al,Yes,"To evaluate the effectiveness of the proposed multi-task learning (MTL) model for COVID-19 detection and lesion segmentation, the authors conducted three controlled experiments. They used the same datasets (COVID-CT, COVID-19 CT Segmentation, Henri Becquerel scans) and consistent train/validation/test splits for all experiments. In Experiment 1, they varied task combinations (reconstruction, segmentation, classification) to tune the architecture and select the best setup. In Experiment 2, they compared their MTL model with standard U-Net architectures for the segmentation task. In Experiment 3, they compared their model against a classification-only CNN for detecting COVID-19 from CT scans. The segmentation task was evaluated using CT images with lesion masks and measured by Dice coefficient. The classification task was evaluated using labeled COVID/non-COVID scans and measured by accuracy, sensitivity, specificity, and AUC (Area Under the ROC Curve). All models were trained with the same optimizer, learning rate, and early stopping criteria to ensure fair comparisons.","{""segmentation"": [""dice""], ""classification"": [""accuracy"", ""sensitivity"", ""specificity"", ""auc""]}","performance_metrics = {
    ""segmentation"": {
        ""task"": ""COVID-19 lesion segmentation"",
        ""evaluation_method"": ""Dice coefficient using annotated lesion masks"",
        ""dice"": 0.7852
    },
    ""classification"": {
        ""task"": ""COVID-19 vs non-COVID classification from CT"",
        ""evaluation_method"": ""Binary classification using test set with ground truth labels"",
        ""accuracy"": 0.86,
        ""sensitivity"": 0.94,
        ""specificity"": 0.79,
        ""auc"": 0.93
    }
}"
2,"Durant, T. J.; Dudgeon, S. N.; Mcpadden, J.; Simpson, A.; Price, N.; Schulz, W. L.; Torres, R.; Olson, E.",2021,"Department of Information System, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah 21589, Saudi Arabia.",Applications of Digital Microscopy and Densely Connected Convolutional Neural Networks for Automated Quantitation of Babesia-Infected Erythrocytes,MedRxiv,General Virology,['Babesia'],10.1101/2021.04.27.21256115,Research,"The aim of this study is to develop and evaluate a machine learning (ML)-based method for the automated measurement of percent parasitemia in digital microscopic images of Giemsa-stained peripheral blood smears, specifically for the diagnosis and monitoring of babesiosis. ","The manual quantification of parasitemia from Giemsa-stained blood smears is time-consuming, error-prone, and reliant on experienced personnel factors that can delay or compromise clinical decisions, especially in severe babesiosis cases. With growing demands on laboratory workflows and limited expert availability, there is a critical need for an accurate, automated method to measure percent parasitemia from digital blood smear images to enhance diagnostic efficiency and reliability.",Parasite quantification,"The study employs a supervised deep learning approach to automate the classification of erythrocytes as parasite-infected or normal in Giemsa-stained peripheral blood smear images. Individual cells were manually labeled and cropped into 70×70×3 images, which were used to train a DenseNet121 convolutional neural network with ImageNet pre-trained weights. The model was trained using binary cross-entropy loss and optimized with the Adam optimizer, incorporating data augmentation and class oversampling to handle data imbalance. After training, the model was applied to segment and classify cells from clinical validation slides, and percent parasitemia was calculated as the ratio of predicted parasite-infected cells to total cells analyzed. Model performance was compared to a reference standard derived from repeated assessments by experienced medical laboratory scientists. To enhance interpretability, the study also used Integrated Gradients to visualize which image regions influenced model predictions.","The authors implemented a DenseNet121 architecture pre-trained on ImageNet, modified with a global average pooling layer, dropout, and a sigmoid-activated dense output layer for binary classification of erythrocytes as parasite-infected or normal. Individual 70×70×3 RGB erythrocyte images were generated from manually labeled blood smear slides and split into training, validation, and test datasets. The model was trained with data augmentation and class oversampling to address imbalance. Optimization was done using the Adam optimizer with binary cross-entropy loss. After training, the best-performing model was applied to clinical validation slides, using contour-based cell segmentation to isolate cells. Percent parasitemia was then computed by dividing the number of predicted parasite cells by the total cells analyzed per image. Integrated Gradients were used to visualize the image regions most influential in model decisions.",ParaNet-121: DenseNet-Based Model for Automated Parasitemia Quantification,No,No,automated quantification of intraerythrocytic parasitemia caused by Babesia species,Microscopic images,Durant et.al,Yes,"Performance was measured at two levels: single-cell classification and slide-level parasitemia quantification. For the classification task, the model was evaluated on a held-out test dataset of labeled erythrocyte images using standard metrics including accuracy, precision, recall, and AUC. The best-performing model was then applied to clinical validation slides, where it classified segmented erythrocytes and computed percent parasitemia as the ratio of predicted parasite-infected cells to total cells. These slide-level results were compared against a clinical reference standard derived from nine expert readings per slide. Agreement was assessed using linear regression (R²), Bland-Altman analysis for bias, categorical agreement across parasitemia bins and around the 10% clinical decision threshold, and coefficient of variation to measure precision.","{""accuracy"", ""precision"", ""recall"", ""auc"", ""false_positives"", ""false_negatives"", ""r2_with_outliers"", ""r2_without_outliers""}","{""accuracy"": 0.99, ""precision"": 0.92, ""recall"": 1.00, ""auc"": ""not reported numerically"", ""false_positives"": 20, ""false_negatives"": 0, ""r2_with_outliers"": 0.244, ""r2_without_outliers"": 0.916}"
3,"Kalia, R. K.; Sharma, A.; Amin, S. B.; Saha, M.; Thittamaranahalli, S. K.",2021,"Department of Biostatistics, Epidemiology, and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA.",AI-DRIVEN QUANTIFICATION OF GROUND GLASS OPACITIES IN LUNGS OF COVID-19 PATIENTS USING 3D COMPUTED TOMOGRAPHY IMAGING,MedRxiv,Respiratory Virology,['SARS-CoV-2'],10.1101/2021.07.06.21260109,Research," develop an AI-driven, unsupervised deep learning framework based on PointNet++ and Minkowski tensor analysis to accurately segment, visualize, and quantify ground-glass opacities (GGOs) in 3D CT lung scans of COVID-19 patients, and to use these features for disease severity assessment and abnormality prediction","Ground-glass opacities (GGOs) are a key radiological feature in CT scans of COVID-19 patients, but their manual detection and analysis is time-consuming, subjective, and error-prone, especially given the scale of the pandemic and limited radiological resources. Existing supervised deep learning approaches require large labeled datasets and struggle with variability in GGO appearance, especially in low-contrast CT images. Moreover, most models treat GGOs as simple binary regions without quantifying their 3D morphology. There is a critical need for a robust, unsupervised AI method that can efficiently segment GGOs, analyze their 3D shape and distribution, and predict disease abnormality to support rapid diagnosis and optimize resource allocation.","The objective of this study is to develop an AI-driven framework for the automated segmentation, classification, and morphological analysis of ground-glass opacities (GGOs) in 3D CT scans of COVID-19 patients. The model aims to support radiologists by efficiently identifying GGOs, analyzing their spatial distribution and shapes, and predicting disease abnormality levels. This approach is designed to facilitate rapid diagnosis and triage, especially in overwhelmed healthcare systems with limited expert resources.","The study employs an unsupervised deep learning methodology that combines point cloud-based segmentation with morphological and statistical analysis. CT scans are preprocessed to extract lung regions using thresholding and morphological operations. GGOs are then segmented using K-means clustering and convex hull algorithms to preserve anatomical structure. These segmented lung volumes are converted into point clouds and analyzed using the PointNet++ neural network, which performs 3D segmentation and classification. In parallel, a CNN followed by a Cox proportional hazards model is used to compute abnormality scores for different lung regions. Minkowski tensor analysis is applied to quantify the shapes and anisotropic properties of GGOs for further diagnostic insight.","The authors use the publicly available MosMedData dataset containing 3D CT scans of lungs from 1110 patients. First, lung regions are extracted from CT scans using thresholding and morphological operations. To restore GGO areas missed during masking, a convex hull algorithm is applied to reconstruct the lung boundaries. GGOs are then segmented using K-means clustering. The processed CT volumes are converted into point clouds, where a subset of 2048 points is sampled to capture the 3D structure. These point clouds are fed into a PointNet++ architecture, which performs segmentation and classification of GGOs with high accuracy. For abnormality scoring, the output of a CNN is fed into a Cox proportional hazards model, producing heatmaps that indicate high-risk lung regions. The morphological characteristics of GGOs are further analyzed using Minkowski tensors, quantifying their shape deviation, area, perimeter, and anisotropy indices to support clinical interpretation.",PointNet++-MinkowskiGGO(Unsupervised 3D Segmentation and Morphological Analysis Framework for COVID-19 GGOs),No,No,"automated detection, segmentation, and morphological analysis of ground-glass opacities (GGOs) in lung CT scans of COVID-19 patients",3D CT scans of lungs,MosMedData,Yes,"Performance was measured by evaluating the effectiveness of the PointNet++ model in segmenting ground-glass opacities (GGOs) from 3D CT scans in the MosMedData dataset. The model’s segmentation accuracy was assessed using a labeled subset of CT scans containing annotated GGOs. Key performance indicators included evaluation accuracy, average class accuracy, and intersection over union (IoU). Additionally, abnormality scoring was performed using a CNN followed by a Cox proportional hazards model, producing heatmaps to highlight high-risk lung regions, though this part was evaluated qualitatively. The shape and size of GGOs were quantitatively analyzed using Minkowski tensors, measuring anisotropy and other geometric features. Overall, the focus was on assessing segmentation quality, pattern analysis, and interpretability for clinical relevance.","{""evaluation_accuracy"", ""average_class_accuracy"", ""intersection_over_union""}","{""evaluation_accuracy"": 0.98, ""average_class_accuracy"": 0.95, ""intersection_over_union"": 0.92}"
4,"Vilar, J.; Saiz, L.",2022,"Department of Food Science and Technology, The Ohio State University, Columbus, OH, United States of America.",Dynamics-informed deconvolutional neural networks for super-resolution identification of regime changes in epidemiological time series,MedRxiv,Respiratory Virology,['SARS-CoV-2'],10.1101/2022.09.14.22279935,Research,"The aim of this study is to develop a dynamics-informed deconvolutional neural network (DIDNN) that can infer the timing and amplitude of epidemiological regime changes such as the implementation or lifting of nonpharmaceutical interventions (NPIs) from noisy, time-lagged, and low-resolution death data.","Traditional models rely heavily on known intervention dates or smoothed case data, which obscures precise temporal changes in disease transmission. Unlike fields such as computer vision, epidemiology lacks high-resolution, regularized inference techniques capable of handling such complex deconvolution.","The objective of this study is to design an unsupervised, physics-informed deep learning model that can accurately infer the daily infection incidence and detect regime changes such as lockdowns or other nonpharmaceutical interventions (NPIs) from stochastically delayed COVID-19 death records. The approach aims to identify these transitions at single-day resolution, enabling improved retrospective analysis of transmission dynamics and policy impacts.","The proposed methodology integrates convolutional neural networks (CNNs) with physics-informed neural network (PINN) principles to model the relationship between observed daily death counts and unobserved infection incidence. The model is built on the renewal equation framework of epidemiology, incorporating domain knowledge through a custom loss function that balances data fidelity (Poisson likelihood of observed deaths) with regularization terms that enforce sparsity in transmission rate changes and consistency with the underlying disease dynamics. The method further incorporates model selection techniques (e.g., Akaike Information Criterion) to tune regularization strength, and it operates entirely without using prior knowledge of NPI timing.","The architecture is a reverse convolutional neural network designed to estimate scaled infection incidence from daily death data, using known probabilistic kernels for infection-to-death and generation time. The input to the network includes the death data and epidemiological kernels, while the outputs are the expected daily deaths and inferred incidence. The network is trained using a custom objective function that combines (1) a Poisson log-likelihood weighted for scale invariance, and (2) a regime-change-aware regularization based on changes in the logarithm of the reproduction number. A dynamics-informed term is also introduced to enforce the renewal equation linking current incidence with past infections. This leads to the final combined loss used for unsupervised training. The final model infers regime shifts in the instantaneous reproduction number with remarkable temporal accuracy and robustness across multiple countries.",Dynamics-Informed Deconvolutional Neural Network (DIDNN),No,No,"retrospective inference of daily infection incidence from noisy, lagged COVID-19 death data","Historical COVID-19 data (deaths, cases, etc.)",Vilar et.al,Yes,"Performance was measured by evaluating how accurately the model could infer the timing of regime changes such as the implementation or lifting of nonpharmaceutical interventions (NPIs) sfrom observed COVID-19 death data, without prior knowledge of intervention dates. Specifically, the model’s predicted dates of significant changes in the reproduction number (R?), inferred from reconstructed infection incidence, were compared to the actual dates of known NPIs. The primary evaluation metric was the offset between predicted and actual intervention dates, calculated across multiple European countries. Additional measurements included the model’s fidelity to the observed daily death counts using a Poisson likelihood loss, and the consistency of its predictions over a wide range of death rates and dynamic regimes. This demonstrated the model’s ability to resolve rapid shifts in transmission dynamics with single-day resolution, validating both its temporal precision and epidemiological realism.","{""mean_NPI_offset_days"", ""std_NPI_offset_days"", ""poisson_fluctuation_score"", ""single_day_accuracy_within_±1d""}","{""mean_NPI_offset_days"": 0.22, ""std_NPI_offset_days"": 0.63, ""poisson_fluctuation_score"": 1.25, ""single_day_accuracy_within_±1d"": ""86%""}"
5,"Joung, H.-A.; Ballard, Z. S.; Wu, J.; Tseng, D. K.; Teshome, H.; Zhang, L.; Horn, E. J.; Arnaboldi, P. M.; Dattwyler, R. J.; Garner, O. B.; Carlo, D. D.; Ozcan, A.",2019,"Artificial Intelligence and Modelling in Epidemiology Program, Melbourne Sexual Health Centre, Alfred Health, Melbourne, Australia.",Point-of-care serodiagnostic test for early-stage Lyme disease using a multiplexed paper-based immunoassay and machine learning,MedRxiv,Zoonotic Virology,['Lyme disease'],10.1101/19009423,Research,"To develop a low-cost, rapid, and highly accurate point-of-care (POC) diagnostic test for early-stage Lyme disease (LD), using a paper-based multiplexed vertical flow assay (xVFA) combined with deep learning to improve diagnostic performance compared to standard two-tier serological testing.","Current diagnostic methods for Lyme disease are inadequate during the early stages of infection. There is an urgent need for a rapid, affordable, and accurate POC test that can replace or supplement the current two-tier approach for early detection of Lyme disease.",To use deep learning to develop a diagnostic algorithm that accurately interprets multiplexed antibody responses from a paper-based test to detect early-stage Lyme disease at the point-of-care.,"The approach combines a multiplexed serological assay (xVFA) with a supervised deep learning model. Raw colorimetric outputs from the assay are preprocessed using image analysis and normalization techniques. A feature selection process is applied to identify the most informative antigen channels, followed by the training of a neural network classifier on labeled data (seropositive or seronegative) using binary cross-entropy loss. The model is trained and validated using human serum samples with known diagnoses.","The AI method developed in this study centers around a supervised deep learning neural network designed to classify early-stage Lyme disease based on outputs from a multiplexed paper-based assay (xVFA). The input to the model consists of normalized colorimetric signals (R?) from selected antigen spots for both IgM and IgG antibodies. A feature selection process—Sequential Forward Feature Selection (SFFS)—was applied to identify the most diagnostically informative 9 out of 20 potential antigen/peptide targets. The final neural network comprises three fully connected hidden layers with 128, 64, and 32 nodes, each employing batch normalization, 50% dropout, and ReLU activation functions. The output layer uses a sigmoid activation to produce a binary classification score. Training used a binary cross-entropy loss function with a learning rate of 0.001, batch size of 32, and early stopping criteria based on stagnation of training accuracy. The model was trained and cross-validated on 100 individual test instances derived from 50 human serum samples, aiming to replicate and eventually replace the standard two-tier Lyme disease testing protocol.",Deep Learning-Based Diagnostic Neural Network for xVFA,No,No, early-stage serological diagnosis of Lyme disease,human serum samples,Lyme Disease Biobank,Yes,"The model was evaluated using blind testing on 50 new serum samples, separate from the training data. Metrics such as AUC, sensitivity, specificity, and overall accuracy were used to assess the diagnostic performance of the deep learning-enhanced xVFA system.","{""AUC"", ""sensitivity"", ""specificity"", ""overall_accuracy""}","{""AUC"": 0.963, ""sensitivity"": 0.857, ""specificity"": 0.963, ""overall_accuracy"": 0.917}"
6,"Zhou, M.; Chen, Y.; Wang, D.; Xu, Y.; Yao, W.; Huang, J.; Jin, X.; Pan, Z.; Tan, J.; Wang, L.; Xia, Y.; Zou, L.; Xu, X.; Wei, J.; Guan, M.; Feng, J.; Zhang, H.; Qu, J.",2020,"Department of Pulmonary and Critical Care Medicine, Ruijin hospital, Shanghai Jiao Tong University School o f Medicine , China",Improved deep learning model for differentiating novel coronavirus pneumonia and influenza pneumonia,MedRxiv,Respiratory Virology,"['COVID-19 (SARS-CoV-2)', 'Influenza (IP)']",10.1101/2020.03.24.20043117,Research,"The aim of this study is to develop and validate an integrated deep learning framework using chest CT images to automatically detect novel coronavirus pneumonia (NCP) and distinguish it from influenza pneumonia (IP), enhancing early diagnosis and aiding epidemic control.","Early-stage NCP and IP present overlapping clinical symptoms and similar CT imaging features, making accurate differentiation difficult especially in contexts where nucleic acid tests are limited or delayed. This diagnostic ambiguity can lead to misclassification, misallocation of resources, and increased transmission risk.","To automatically detect and differentiate novel coronavirus pneumonia (NCP) from influenza pneumonia (IP) using chest CT images, enabling faster, more accurate diagnosis—especially when nucleic acid testing is delayed or inconclusive.","The study employed a deep learning pipeline combining object detection and image classification to analyze chest CT scans. The system first detects lung lesions using YOLOv3 and then classifies the lesions as NCP or IP using a modified VGGNet model. To improve generalization across different CT scanners and hospitals, the authors introduced a novel training strategy called the ""Trinary scheme"" that encourages the model to learn device-independent, lesion-specific features.","The AI method developed in this study consists of a two-stage deep learning pipeline designed for automatic detection and differentiation of novel coronavirus pneumonia (NCP) and influenza pneumonia (IP) on chest CT images. First, the system uses YOLOv3 to detect potential lung lesions on CT slices, leveraging its speed and accuracy for object detection. The detected lesion regions are then classified using a modified version of VGGNet, which incorporates transfer learning to adapt to the limited annotated dataset. To address domain shift and device-dependence common challenges in medical imaging the authors introduce a novel ""Trinary scheme"" during training. This approach adds a third class of randomly selected background regions to the classification task, encouraging the network to focus on lesion-specific rather than device-specific features. The classification outputs from individual lesions are aggregated through ensemble averaging to make a patient-level diagnosis. This method was evaluated against specialist radiologists and demonstrated improved generalization and diagnostic performance, particularly on data from previously unseen CT devices and centers.",Trinary Scheme Deep Learning Framework using YOLOv3 for lesion detection and a Modified VGGNet for lesion classification.,No,No,differential diagnosis of novel coronavirus pneumonia (NCP) from influenza pneumonia (IP) using chest CT scans,chest CT images,Zhou et.al,Yes,"Performance in this study was measured by evaluating both lesion-level and patient-level classification accuracy for distinguishing Novel Coronavirus Pneumonia (NCP) from Influenza Pneumonia (IP) using chest CT scans. Lesion detection was carried out using the YOLOv3 architecture, while classification was performed with a modified VGGNet. To assess generalization across different imaging devices, two training schemes were compared: a standard Plain scheme and a novel Trinary scheme designed to learn device-independent features. Lesion-level predictions were aggregated per patient to compute patient-level classification results. Performance was benchmarked against diagnoses confirmed by nucleic acid tests and evaluated using metrics such as AUC, sensitivity, specificity, accuracy, precision, and F1 score. The study also included comparative analysis with human radiologists to validate the model’s clinical applicability.","{""AUC"", ""accuracy"", ""sensitivity"", ""specificity"", ""precision"", ""F1_score"", ""lesion_detection_F1""}","{""AUC"": 0.92, ""accuracy"": 0.91, ""sensitivity"": 1.00, ""specificity"": 0.95, ""precision"": None, ""F1_score"": 0.847, ""lesion_detection_F1"": 0.742}"
7,"Jo, H.; Son, H.; Jung, S. Y.; Hwang, H. J.",2020,"Department of Mathematics, Pohang University of Science and Technology, South Korea",Analysis of COVID-19 spread in South Korea using the SIR model with time-dependent parameters and deep learning,MedRxiv,General Virology,['COVID-19'],10.1101/2020.04.13.20063412,Research,To model the spread of COVID-19 in South Korea more accurately by integrating time-dependent parameters into the SIR epidemiological model using deep neural networks.,"Traditional SIR models with constant parameters struggle to accurately reflect the rapidly changing dynamics of real-world infectious disease outbreaks like COVID-19. Furthermore, constant-parameter models fail to capture effects of interventions and behavioral shifts over time.","To use deep neural networks to simultaneously approximate the variables (S, I, R) and time-varying parameters (?, ?) in the SIR model, enabling real-time computation of the reproduction number RT(t) and improving epidemic forecasting accuracy.","The study frames the COVID-19 modeling task as a forward-inverse problem, where both the solution of the SIR model and its parameters (? and ?) are approximated simultaneously. This is achieved by training deep neural networks (DNNs) to learn both the system dynamics and the underlying time-dependent parameters, allowing for real-time estimation of key epidemic indicators such as the reproduction number RT(t).","The researchers construct five separate deep neural networks Snet, Inet, Rnet, ?net, and ?net each taking time t as input and outputting one of the target variables: the scaled compartment values S(t),I(t),R(t) and the time-varying parameters ?(t) and ?(t). All networks share a consistent architecture with one input node, one output node, four hidden layers, and 256 neurons per layer. They use the hyperbolic tangent (tanh) activation for hidden layers, while the final layer uses Softplus and Sigmoid activations to enforce constraints such as ?,S,I,R>0 and 0<?<1. The networks are trained using loss functions that incorporate relative errors and numerical consistency with the SIR differential equations. The Runge-Kutta 4 (RK4) method is also used to verify that the learned parameters can reproduce the dynamics of the original system.",Deep Neural Networks (DNNs),No,No,Modeling and forecasting the spread dynamics of COVID-19 in South Korea using time-dependent SIR parameters,daily cumulative COVID-19 statistics,Jo et.al,Yes,"The study does not report standard machine learning metrics such as accuracy, F1-score, AUC, RMSE, or MAE. Instead, the evaluation focuses on how well the deep neural networks approximate the time-dependent SIR model parameters and variables. Performance was assessed using relative errors between predicted and observed values for the susceptible, infected, and recovered populations. Additionally, the authors validated the correctness of their learned parameters by running simulations with the Runge-Kutta 4 (RK4) numerical method and comparing the results to actual COVID-19 data. Epidemiological consistency was also checked by analyzing the behavior of the time-dependent reproduction number R_T(t) = \beta(t)/\gamma(t). These evaluation strategies emphasize mathematical and epidemiological validity over conventional ML benchmarking.",,
8,"Deng, Q.",2020,"College of Economics and Management, China-Africa International Business School, Zhejiang Normal University, Jinhua, China",Dynamics and Development of the COVID-19 Epidemics in the US: a Compartmental Model with Deep Learning Enhancement,MedRxiv,Emerging & Re-emerging Viruses,['SARS-CoV-2'],10.1101/2020.05.31.20118414,Research,"To develop a deep learning–enhanced compartmental model that accurately simulates and forecasts the progression of the COVID-19 epidemic in the United States, while minimizing dependence on resource-intensive transmission statistics typically required by traditional epidemic models","Traditional compartmental epidemic models, such as SEIR variants, rely heavily on stochastic parameterization processes that require detailed and costly epidemiological data. This reliance limits their scalability and responsiveness, especially in data-scarce or rapidly evolving outbreak scenarios.","To apply deep neural networks (DNN) and recurrent neural networks with long short-term memory (RNN-LSTM) for estimating key transmission parameters (? and ?R) of a simplified compartmental model (SIRJD), enabling accurate epidemic forecasting without the need for exhaustive epidemiological data collection.","The study follows a multi-step deep learning-based forecasting pipeline. First, it constructs a simplified compartmental epidemic model (SIRJD) using real-world COVID-19 data. Next, deep learning models are trained to predict the key transmission parameters (? and ?R) using historical confirmed and death time series data. Finally, the predicted parameters are recursively fed back into the compartmental model to simulate future epidemic trajectories over 35- and 42-day horizons.","DNNs were used to model complex nonlinear relationships between input features (daily confirmed and death case counts) and target transmission parameters. The architecture likely consisted of multiple fully connected hidden layers with activation functions (e.g., ReLU), trained using backpropagation and mean squared error (MSE) loss. The DNN takes a fixed-size window of past data (time series features) as input and outputs predicted values of ? and ?R. These predictions are then fed into the compartmental model to forecast the epidemic’s trajectory.",Deep Neural Networks (DNN),No,No,Forecasting the epidemic dynamics of COVID-19,"Daily case data (confirmed, active, recovered, hospitalized, deaths)",Deng et.al,Yes,"In this study, performance was measured by evaluating the ability of deep learning models DNN and RNN-LSTM to accurately estimate key transmission parameters (? and ?R) and forecast the trajectory of the COVID-19 epidemic in the United States. Rather than using standard predictive metrics like RMSE or MAE, the authors focused on the consistency, plausibility, and epidemiological relevance of the predictions. Specifically, they assessed whether the predicted basic reproduction number (R?) would drop below 1 signaling containment of the epidemic and whether the models could accurately forecast milestone events such as the peak of active infections and the point when cumulative confirmed cases would surpass 5 million. Performance was judged based on how well the predicted infection curves aligned with known epidemic dynamics and the agreement between the 35-day and 42-day forecasts produced by both DNN and RNN-LSTM models. This approach emphasized interpretability and scenario realism over purely statistical error measures.",,
,,,,,,,,,,,,,,"LSTMs are a type of RNN that incorporate memory cells to capture long-term dependencies in sequential data. In this study, LSTM networks are trained on multivariate time series of confirmed and death cases to learn temporal patterns and trends. LSTMs outperform DNNs in modeling epidemic dynamics due to their ability to maintain and update internal states, which is essential for sequence prediction. Like the DNNs, the LSTMs output future values of ? and ?R, which are recursively applied in the SIRJD model to simulate the development of susceptible, infected, recovered, isolated, and deceased compartments over time.",Recurrent Neural Networks – Long Short-Term Memory (RNN-LSTM),,,,Time series of confirmed and death cases,,,,,
9,"He, X.; Wang, S.; Shi, S.; Chu, X.; Tang, J.; Liu, X.; Yan, C.; Zhang, J.; Ding, G.",2021,"Department of Computer Science, Hong Kong Baptist University, Hong Kong, China",Benchmarking Deep Learning Models and Automated Model Design for COVID-19 Detection with Chest CT Scans,MedRxiv,Respiratory Virology,['COVID-19'],10.1101/2020.06.08.20125963,Research,"To conduct a systematic, reproducible, and comprehensive benchmarking study of deep learning models for COVID-19 diagnosis using chest CT scans, by building a clean and consistent dataset (Clean-CC-CCII) and evaluating both manually designed and automatically generated models under uniform conditions.","There is a lack of consistent and fair comparison across deep learning methods for COVID-19 detection due to the presence of noise and inconsistency in datasets (like CC-CCII) and the absence of standardized evaluation protocols, making it difficult to assess which models perform best.","To develop and evaluate multiple 2D and 3D CNN architectures, including automated neural architecture search (NAS) for model design, for the purpose of improving classification performance in distinguishing between novel coronavirus pneumonia (NCP), common pneumonia (CP), and normal controls using the newly cleaned CT dataset (Clean-CC-CCII).",The study follows a supervised deep learning methodology using both manual model design and automatic neural architecture search (NAS). The models are trained on a cleaned and standardized CT image dataset for multi-class classification under a uniform pipeline to ensure reproducibility and fair evaluation.,"The 2D CNN models in the study were trained on individual CT slices, treating them as standalone images without considering the 3D spatial continuity between slices. This category includes well-established architectures such as ResNet50, DenseNet121, EfficientNetB3, ResNeXt101, and MobileNetV2. These models are widely used in computer vision tasks due to their efficient design and proven accuracy. ResNet50 introduces residual connections for deeper training, DenseNet121 emphasizes dense connectivity for feature reuse, and EfficientNetB3 applies compound scaling to balance depth, width, and resolution. MobileNetV2 is optimized for mobile and embedded environments, while ResNeXt101 enhances representational power via grouped convolutions. While these models are fast and resource-efficient, they do not leverage the full spatial context available in volumetric CT data, which may limit their diagnostic depth.",2D CNN Models,https://github.com/UCSD-AI4H/COVID-CT,Apache License 2.0,COVID-19 infection diagnosis,CT scans,Clean-CC-CCII,Yes,"In this study, performance was measured to evaluate how effectively different deep learning models could classify chest CT scans into three categories: COVID-19 pneumonia (NCP), common pneumonia (CP), and normal cases. The primary metric used was classification accuracy, which reflects the overall percentage of correctly predicted cases. To assess model efficiency, the authors also measured inference time per scan, indicating how fast each model could process a full CT volume, and model size, which refers to the memory footprint of each trained model in megabytes. Additionally, to evaluate the stability and reliability of each model’s performance, the experiments were repeated multiple times and the standard deviation of the accuracy scores was reported. These evaluations ensured a holistic comparison not just in terms of predictive performance, but also in computational efficiency and robustness across runs."," {""accuracy"" , ""f1_score"" , ""auc""}","{""MNas3DNet41 (NAS-based 3D CNN)"": {""accuracy"": 87.14, ""f1_score"": 87.25, ""auc"": 0.957}, ""ResNet50 (2D CNN)"": {""accuracy"": 86.75, ""f1_score"": 86.85, ""auc"": 0.954}, ""ResNet3D101 (3D CNN)"": {""accuracy"": 85.15, ""f1_score"": 85.30, ""auc"": 0.950}}"
