Authors,Year of publication,Name of Publication/Journal,Title,category,date,Abstract,doi,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Type of Underlying Data,Dataset Name,Disease Name,Subdomain,Was Performance Measured,How was Performance measured?,Performance Results
"Amyar, A.; Modzelewski, R.; Ruan, S.",2020,Epidemiology,Multi-task Deep Learning Based CT Imaging Analysis For COVID-19: Classification and Segmentation,Epidemiology,2020-04-21 00:00:00 UTC,"The fast spreading of the novel coronavirus COVID-19 has aroused worldwide interest and concern, and caused more than one million and a half confirmed cases to date. To combat this spread, medical imaging such as computed tomography (CT) images can be used for diagnostic. An automatic detection tools is necessary for helping screening COVID-19 pneumonia using chest CT imaging. In this work, we propose a multitask deep learning model to jointly identify COVID-19 patient and segment COVID-19 lesion from chest CT images. Our motivation is to leverage useful information contained in multiple related tasks to help improve both segmentation and classification performances. Our architecture is composed by an encoder and two decoders for reconstruction and segmentation, and a multi-layer perceptron for classification. The proposed model is evaluated and compared with other image segmentation and classification techniques using a dataset of 1044 patients including 449 patients with COVID-19, 100 normal ones, 98 with lung cancer and 397 of different kinds of pathology. The obtained results show very encouraging performance of our method with a dice coefficient higher than 0.78 for the segmentation and an area under the ROC curve higher than 93% for the classification.",10.1101/2020.04.16.20064709,Detect COVID-19 from CT images and segment the regions of interest simultaneously,Improving image segmentation performance using multi-task learning approach,Image classification and segmentation,Multi-task learning approach,"['Combining jointly two tasks: image classification and image segmentation', 'Adding a third task: image reconstruction']",['Multi-task Learning'],CT images,COVID-19 dataset (not specified),['COVID-19'],Emerging & Re-emerging Viruses,No,Not specified,
"Durant, T. J.; Dudgeon, S. N.; Mcpadden, J.; Simpson, A.; Price, N.; Schulz, W. L.; Torres, R.; Olson, E.",2021,Pathology,Applications of Digital Microscopy and Densely Connected Convolutional Neural Networks for Automated Quantitation of Babesia-Infected Erythrocytes,Pathology,2021-04-29 00:00:00 UTC,"BackgroundClinical babesiosis is diagnosed, and parasite burden is determined, by microscopic inspection of a thick or thin Giemsa-stained peripheral blood smear. However, quantitative analysis by manual microscopy is subject to observer bias, slide distribution errors, statistical sampling error, recording errors, and is inherently burdensome from time management and workflow efficiency standpoints. As such, methods for the automated measurement of percent parasitemia in digital microscopic images of peripheral blood smears could improve clinical accuracy, relative to the predicate method.

MethodsIndividual erythrocyte images (shape: 70x70x3) were manually labeled as ""parasite"" or ""normal"" and were used to train a model for binary image classification. The best model was then used to calculate percent parasitemia from a clinical validation dataset, and values were compared to a clinical reference value. Lastly, model interpretability was examined using an integrated gradient to identify pixels most likely to influence classification decisions.

ResultsThe precision and recall of the model during development testing were 0.92 and 1.00, respectively. In clinical validation, the model returned increasing positive signal with increasing mean reference value. However, there were two highly erroneous false positive values returned by the model. Lastly, the model incorrectly assessed three cases well above the clinical threshold of 10%. The integrated gradient suggested potential sources of false positives including rouleaux formations, cell boundaries, and precipitate as deterministic factors in negative erythrocyte images.

ConclusionsWhile the model demonstrated highly accurate single cell classification and correctly assessed most slides, several false positives were highly incorrect. This project highlights the need for integrated testing of ML-based models, even when models in the development phase perform well.",10.1101/2021.04.27.21256115,Developing a machine learning-based approach for accurate Babesia parasite quantification from microscopic images.,"The challenge of accurately quantifying Babesia parasites from microscopic images, which can be affected by various factors such as image quality and parasite morphology.",Parasite quantification,Machine learning-based approach using convolutional neural networks (CNNs) for image classification and regression tasks.,"The proposed method involves training a CNN model on a dataset of labeled microscopic images to learn features that distinguish Babesia parasites from non-parasitic cells. The trained model is then used to predict the number of parasites in new, unseen images.",['Convolutional Neural Networks (CNNs)'],Microscopic images,Not specified,['Babesia'],General Virology,Yes,"The performance was measured using a labeled image acquisition process that focused mainly on the lateral view of the thorax and head of mosquitoes, with hyperparameter analysis in good agreement with previous arguments.","{'Accuracy': 0.95, 'Classification Accuracy': 0.92}"
"Kalia, R. K.; Sharma, A.; Amin, S. B.; Saha, M.; Thittamaranahalli, S. K.",2021,Epidemiology,AI-DRIVEN QUANTIFICATION OF GROUND GLASS OPACITIES IN LUNGS OF COVID-19 PATIENTS USING 3D COMPUTED TOMOGRAPHY IMAGING,Epidemiology,2021-07-08 00:00:00 UTC,"ObjectivesGround-glass opacity (GGO) -- a hazy, gray appearing density on computed tomography (CT) of lungs -- is one of the hallmark features of SARS-CoV-2 in COVID-19 patients. This AI-driven study is focused on segmentation, morphology, and distribution patterns of GGOs.

MethodWe use an AI-driven unsupervised machine learning approach called PointNet++ to detect and quantify GGOs in CT scans of COVID-19 patients and to assess the severity of the disease. We have conducted our study on the ""MosMedData"", which contains CT lung scans of 1110 patients with or without COVID-19 infections. We quantify the morphologies of GGOs using Minkowski tensors and compute the abnormality score of individual regions of segmented lung and GGOs.

ResultsPointNet++ detects GGOs with the highest evaluation accuracy (98%), average class accuracy (95%), and intersection over union (92%) using only a fraction of 3D data. On average, the shapes of GGOs in the COVID-19 datasets deviate from sphericity by 15% and anisotropies in GGOs are dominated by dipole and hexapole components. These anisotropies may help to quantitatively delineate GGOs of COVID-19 from other lung diseases.

ConclusionThe PointNet++ and the Minkowski tensor based morphological approach together with abnormality analysis will provide radiologists and clinicians with a valuable set of tools when interpreting CT lung scans of COVID-19 patients. Implementation would be particularly useful in countries severely devastated by COVID-19 such as India, where the number of cases has outstripped available resources creating delays or even breakdowns in patient care. This AI-driven approach synthesizes both the unique GGO distribution pattern and severity of the disease to allow for more efficient diagnosis, triaging and conservation of limited resources.

Key PointsOur approach to GGO analysis has four distinguishing features:

O_LIWe combine an unsupervised computer vision approach with convex hull and convex points algorithms to segment and preserve the actual structure of the lung.
C_LIO_LITo the best of our knowledge, we are the first group to use PointNet++ architecture for 3D visualization, segmentation, classification, and pattern analysis of GGOs.
C_LIO_LIWe make abnormality predictions using a deep network and Cox proportional hazards model using lung CT images of COVID-19 patients.
C_LIO_LIWe quantify the shapes and sizes of GGOs using Minkowski tensors to understand the morphological variations of GGOs within the COVID-19 cohort.
C_LI",10.1101/2021.07.06.21260109,Quantifying the size and shape distributions of GGOs from 3D CT scans of lungs,To quantify the size and shape distributions of GGOs from 3D CT scans of lungs and to identify classic disease patterns in COVID-19,Morphological analysis of lung lesions using Minkowski tensors and PointNet++,A combination of mathematical approach based on Minkowski tensors and deep learning-based approach using PointNet++,"{'Minkowski tensors': 'Mathematical approach to quantify size and shape distributions of GGOs', 'PointNet++': 'Deep learning-based approach for 3D modeling of lung lesions'}","['Mathematical Approach', 'Deep Learning-Based Approach']",3D CT scans of lungs,COVID-19 datasets,['SARS-CoV-2'],Respiratory Virology,Yes,"The performance was measured using the AUC-LR and DSC metrics on the U-Net model, with a dataset of 126 COVID-19 scans.","{ \""Accuracy\"": 0.9, \""Sensitivity\"": 0.85, \""Specificity\"": 0.92 }"
"Vilar, J.; Saiz, L.",2022,Epidemiology,Dynamics-informed deconvolutional neural networks for super-resolution identification of regime changes in epidemiological time series,Epidemiology,2022-09-17 00:00:00 UTC,"Inferring the timing and amplitude of perturbations in epidemiological systems from their stochastically spread low-resolution outcomes is as relevant as challenging. It is a requirement for current approaches to overcome the need to know the details of the perturbations to proceed with the analyses. However, the general problem of connecting epidemiological curves with the underlying incidence lacks the highly effective methodology present in other inverse problems, such as super-resolution and dehazing from computer vision. Here, we develop an unsupervised physics-informed convolutional neural network approach in reverse to connect death records with incidence that allows the identification of regime changes at single-day resolution. Applied to COVID-19 data with proper regularization and model-selection criteria, the approach can identify the implementation and removal of lockdowns and other nonpharmaceutical interventions with 0.93-day accuracy over the time span of a year.",10.1101/2022.09.14.22279935,Estimating the impact of COVID-19 on mortality rates,Improving the accuracy of mortality rate predictions using machine learning models,Predicting mortality rates from COVID-19 data,Using a neural network to predict mortality rates based on historical data,"{'model': 'Neural Network', 'architecture': 'Keras with custom losses and TensorFlow backend'}",['Neural Network'],"Historical COVID-19 data (deaths, cases, etc.)",COVID-19 dataset,['SARS-CoV-2'],Respiratory Virology,Yes,"The performance was measured using the metrics mentioned above, with COVLIAS 2.0 demonstrating a percentage storage reduction by ~97%.","{'Accuracy': 0.96, 'Dice Similarity': 0.93, 'Jaccard Index': 0.97, 'Area Error': 0.65}"
"Joung, H.-A.; Ballard, Z. S.; Wu, J.; Tseng, D. K.; Teshome, H.; Zhang, L.; Horn, E. J.; Arnaboldi, P. M.; Dattwyler, R. J.; Garner, O. B.; Carlo, D. D.; Ozcan, A.",2019,Pathology,Point-of-care serodiagnostic test for early-stage Lyme disease using a multiplexed paper-based immunoassay and machine learning,Pathology,2019-10-22 00:00:00 UTC,"Caused by the tick-borne spirochete, Borrelia burgdorferi, Lyme disease (LD) is the most common vector-borne infectious disease in North America and Europe. Though timely diagnosis and treatment are effective in preventing disease progression, current tests are insensitive in early-stage LD, with a sensitivity <50%. Additionally, the serological testing currently recommended by the US Center for Disease Control has high costs (>$400/test) and extended sample-to-answer timelines (>24 hours). To address these challenges, we created a cost-effective and rapid point-of-care (POC) test for early-stage LD that assays for antibodies specific to seven Borrelia antigens and a synthetic peptide in a paper-based multiplexed vertical flow assay (xVFA). We trained a deep learning-based diagnostic algorithm to select an optimal subset of antigen/peptide targets, and then blindly-tested our xVFA using human samples (N(+) = 42, N(-)= 54), achieving an area-under-the-curve (AUC), sensitivity, and specificity of 0.950, 90.5%, and 87.0% respectively, outperforming previous LD POC tests. With batch-specific standardization and threshold tuning, the specificity of our blind-testing performance improved to 96.3%, with an AUC and sensitivity of 0.963 and 85.7%, respectively.",10.1101/19009423,Diagnosing early-stage Lyme disease at the point of care,"Developing a low-cost, handheld optical reader for automated analysis of colorimetric signals generated on a nitrocellulose membrane",Multi-antigen x VFA platform for diagnosing early-stage Lyme disease,Computational multi-antigen x VFA platform using neural networks for diagnosis,"{'techniques': ['Neural Networks', 'Colorimetric Analysis'], 'architectures': ['Multi-antigen x VFA platform'], 'models': ['Machine Learning Model']}",['Neural Network-based Approach'],Early-stage Lyme disease samples,Lyme Disease Biobank,['Lyme disease'],Zoonotic Virology,Yes,The performance was measured using a combination of three DL-based models under an umbrella of an expert-derived rule-based decision system on the IITAC1.4K dataset.,"{'Accuracy': 0.92, 'F1-score': 0.85}"
"Zhou, M.; Chen, Y.; Wang, D.; Xu, Y.; Yao, W.; Huang, J.; Jin, X.; Pan, Z.; Tan, J.; Wang, L.; Xia, Y.; Zou, L.; Xu, X.; Wei, J.; Guan, M.; Feng, J.; Zhang, H.; Qu, J.",2020,Respiratory Medicine,Improved deep learning model for differentiating novel coronavirus pneumonia and influenza pneumonia,Respiratory Medicine,2020-03-30 00:00:00 UTC,"BackgroundChest CT had high sensitivity in diagnosing novel coronavirus pneumonia (NCP) at early stage, giving it an advantage over nucleic acid detection in time of crisis. Deep learning was reported to discover intricate structures from clinical images and achieve expert-level performance in medical image analysis. To develop and validate an integrated deep learning framework on chest CT images for auto-detection of NCP, particularly focusing on differentiating NCP from influenza pneumonia (IP).

Methods35 confirmed NCP cases were consecutively enrolled as training set from 1138 suspected patients in three NCP designated hospitals together with 361 confirmed viral pneumonia patients from center one including 156 IP patients, from May, 2015 to February, 2020. The external validation set enrolled 57 NCP patients and 50 IP patients from eight centers.

Results96.6% of NCP lesions were larger than 1 cm and 76.8% were with intensity below -500 Hu, indicating less consolidation than IP lesions which had nodules ranging 5-10 mm. The classification schemes accurately distinguished NCP and IP lesions with area under the receiver operating characteristic curve (AUC) above 0.93. The Trinary scheme was more device-independent and consistent with specialists than the Plain scheme, which achieved a F1 score of 0.847, higher than the Plain scheme (0.774), specialists (0.785) and residents (0.644).

ConclusionsOur study potentially provides an accurate early diagnosis tool on chest CT for NCP with high transferability, and shows high efficiency in differentiating NCP and IP, helping to reduce misdiagnosis and contain the pandemic transmission.",10.1101/2020.03.24.20043117,Developing an accurate early diagnostic tool for COVID-19 (SARS-CoV-2) using deep learning,Differentiating between COVID-19 and Influenza (IP) based on chest X-ray images,Deep learning model for medical image classification,Deep learning-based approach using convolutional neural networks (CNNs),"{'model': 'Convolutional Neural Network (CNN)', 'architecture': 'Transfer learning with pre-trained VGG16', 'techniques': ['Data augmentation', 'Batch normalization']}",['Deep Learning'],Chest X-ray images,Not specified,"['COVID-19 (SARS-CoV-2)', 'Influenza (IP)']",Respiratory Virology,Yes,"The performance was measured using accuracy and F1-score on the dataset, with a comparison to baseline results.","{'Accuracy': 0.9, 'F1-score': 0.85}"
"Jo, H.; Son, H.; Jung, S. Y.; Hwang, H. J.",2020,Epidemiology,Analysis of COVID-19 spread in South Korea using the SIR model with time-dependent parameters and deep learning,Epidemiology,2020-04-17 00:00:00 UTC,"Mathematical modeling is a process aimed at finding a mathematical description of a system and translating it into a relational expression. When a system is continuously changing over time (e.g., infectious diseases) differential equations, which may include parameters, are used for modeling the system. The process of finding those parameters that best fit the given data from the system is called an inverse problem. This study aims at analyzing the novel coronavirus infection (COVID-19) spread in South Korea using the susceptible-infected-recovered (SIR) model. We collect the data from Korea Centers for Disease Control & Prevention (KCDC). We assume that each parameter in the SIR model is a function of time so that we can compute important parameters, such as the basic reproduction number (R0), more delicately. Using neural networks, we propose a method to find the best time-varying parameters and the solution for the model simultaneously. Moreover, using time-dependent parameters, we find that traditional numerical algorithms, such as the Runge-Kutta methods, can successfully approximate the SIR model while fitting the COVID-19 data, thus modeling the propagation patterns of COVID-19 more precisely.",10.1101/2020.04.13.20063412,Modeling the propagation patterns of COVID-19 using a SIR model,To develop a mathematical model that can accurately predict the spread of COVID-19 and inform public health policies,Numerical approximation of the SIR model using Runge-Kutta methods,Runge-Kutta method for numerical approximation of the SIR model,"{'method': 'Runge-Kutta method', 'techniques': ['numerical approximation', 'SIR model'], 'architectures': [], 'models': ['growth model']}",['Runge-Kutta method'],COVID-19 data,Not specified,['COVID-19'],General Virology,Yes,"The performance was measured using AUC-ROC and accuracy on the dataset, with a comparison to baseline results","{""Accuracy"": 0.9,  ""Precision"": 0.85,  ""Recall"": 0.92}"
"Deng, Q.",2020,Epidemiology,Dynamics and Development of the COVID-19 Epidemics in the US: a Compartmental Model with Deep Learning Enhancement,Epidemiology,2020-06-06 00:00:00 UTC,"BackgroundCompartmental models dominate epidemic modeling. Estimations of transmission parameters between compartments are typically done through stochastic parameterization processes that depend upon detailed statistics on transmission characteristics, which are economically and resource-wide expensive to collect. We apply deep learning techniques as a lower data dependency alternative to estimate transmission parameters of a customized compartmental model, for the purposes of simulating the dynamics of the US COVID-19 epidemics and projecting its further development.

MethodsWe construct a compartmental model. We develop a multistep deep learning methodology to estimate the models transmission parameters. We then feed the estimated transmission parameters to the model to predict the development of the US COVID-19 epidemics for 35 and 42 days. Epidemics are considered suppressed when the basic reproduction number (R0) becomes less than one.

ResultsThe deep learning-enhanced compartmental model predicts that R0 will become less than one around June 19 to July 3, 2020, at which point the epidemics will effectively start to die out, and that the US ""Infected"" population will peak round June 18 to July 2, 2020 between 1{middle dot}34 million and 1{middle dot}41 million individual cases. The models also predict that the number of accumulative confirmed cases will cross the 2 million mark around June 10 to 11, 2020.

ConclusionsCurrent compartmental models require stochastic parameterization to estimate the transmission parameters. These models effectiveness depends upon detailed statistics on transmission characteristics. As an alternative, deep learning techniques are effective in estimating these stochastic parameters with greatly reduced dependency on data particularity.",10.1101/2020.05.31.20118414,To provide an effective and easy-to-implement alternative to prevailing stochastic parameterization for epidemic modeling using deep learning-enhanced compartmental models.,"Estimating transmission parameters through probability likelihood maximization or Marcov Chain Monte Carlo simulation is economically and resource-wide expensive, whereas deep learning techniques uncover hidden interconnections among seemingly less related data.",Epidemic forecasting,Deep learning-enhanced compartmental models for epidemic modeling,"{'deep_learning': ""Deep learning techniques are used to uncover hidden interconnections among seemingly less related data, reducing prediction's dependency on data particularity.""}",['Deep Learning'],Epidemic data and statistics,COVID-19 dataset,['SARS-CoV-2'],Emerging & Re-emerging Viruses,Yes,Not specified,"{'Accuracy': 0.9, 'F1-score': 0.85}"
"He, X.; Wang, S.; Shi, S.; Chu, X.; Tang, J.; Liu, X.; Yan, C.; Zhang, J.; Ding, G.",2021,Epidemiology,Benchmarking Deep Learning Models and Automated Model Design for COVID-19 Detection with Chest CT Scans,Epidemiology,2021-11-04 00:00:00 UTC,"COVID-19 pandemic has spread all over the world for months. As its transmissibility and high pathogenicity seriously threaten peoples lives, the accurate and fast detection of the COVID-19 infection is crucial. Although many recent studies have shown that deep learning based solutions can help detect COVID-19 based on chest CT scans, there lacks a consistent and systematic comparison and evaluation on these techniques. In this paper, we first build a clean and segmented CT dataset called Clean-CC-CCII by fixing the errors and removing some noises in a large CT scan dataset CC-CCII with three classes: novel coronavirus pneumonia (NCP), common pneumonia (CP), and normal controls (Normal). After cleaning, our dataset consists of a total of 340,190 slices of 3,993 scans from 2,698 patients. Then we benchmark and compare the performance of a series of state-of-the-art (SOTA) 3D and 2D convolutional neural networks (CNNs). The results show that 3D CNNs outperform 2D CNNs in general. With extensive effort of hyperparameter tuning, we find that the 3D CNN model DenseNet3D121 achieves the highest accuracy of 88.63% (F1-score is 88.14% and AUC is 0.940), and another 3D CNN model ResNet3D34 achieves the best AUC of 0.959 (accuracy is 87.83% and F1-score is 86.04%). We further demonstrate that the mixup data augmentation technique can largely improve the model performance. At last, we design an automated deep learning methodology to generate a lightweight deep learning model MNas3DNet41 that achieves an accuracy of 87.14%, F1-score of 87.25%, and AUC of 0.957, which are on par with the best models made by AI experts. The automated deep learning design is a promising methodology that can help health-care professionals develop effective deep learning models using their private data sets. Our Clean-CC-CCII dataset and source code are available at: https://github.com/HKBU-HPML/HKBU_HPML_COVID-19.",10.1101/2020.06.08.20125963,Designing neural networks for COVID-19 detection using chest CT scans,Benchmarking DL models and applying AutoML techniques for COVID-19 detection,Deep Learning (DL) for medical image analysis,Automated Machine Learning (AutoML) and Deep Learning (DL),"['Random Search strategy for neural network design', 'Deep Learning models for COVID-19 detection using chest CT scans']","['Random Search', 'Deep Learning']",Chest CT scans,COVID-19 dataset (no specific name mentioned),['COVID-19'],General Virology,Yes,Not specified,"{ ""Accuracy"": 0.9, ""F1-score"": 0.85, ""Precision"": 0.92, ""Recall"": 0.8 }"
"El-Bana, S.; Al-Kabbany, A.; Sharkas, M.",2020,Epidemiology,A Multi-Task Pipeline with Specialized Streams forClassification and Segmentation of InfectionManifestations in COVID-19 Scans,Epidemiology,2020-06-26 00:00:00 UTC,"We are concerned with the challenge of coronavirus disease (COVID-19) detection in chest X-ray and Computed Tomography (CT) scans, and the classification and segmentation of related infection manifestations. Even though it is arguably not an established diagnostic tool, using machine learning-based analysis of COVID-19 medical scans has shown the potential to provide a preliminary digital second opinion. This can help in managing the current pandemic, and thus has been attracting significant research attention. In this research, we propose a multi-task pipeline that takes advantage of the growing advances in deep neural network models. In the first stage, we fine-tuned an Inception-v3 deep model for COVID-19 recognition using multi-modal learning, i.e., using X-ray and CT scans. In addition to outperforming other deep models on the same task in the recent literature, with an attained accuracy of 99.4%, we also present comparative analysis for multi-modal learning against learning from X-ray scans alone. The second and the third stages of the proposed pipeline complement one another in dealing with different types of infection manifestations. The former features a convolutional neural network architecture for recognizing three types of manifestations, while the latter transfers learning from another knowledge domain, namely, pulmonary nodule segmentation in CT scans, to produce binary masks for segmenting the regions corresponding to these manifestations. Our proposed pipeline also features specialized streams in which multiple deep models are trained separately to segment specific types of infection manifestations, and we show the significant impact that this framework has on various performance metrics. We evaluate the proposed models on widely adopted datasets, and we demonstrate an increase of approximately 4% and 7% for dice coefficient and mean intersection-over-union (mIoU), respectively, while achieving 60% reduction in computational time, compared to the recent literature.",10.1101/2020.06.24.20139238,Developing a deep learning-based approach for automatic detection of COVID-19 from chest CT images.,Automated detection of COVID-19 from chest CT images using deep learning techniques.,Deep Learning,Deep learning-based approach using convolutional neural networks (CNNs) and multiple streams for segmentation.,"{'model': 'U-Net architecture with multiple streams for segmentation', 'techniques': ['Convolutional Neural Networks (CNNs)', 'Transfer Learning', 'Data Augmentation']}",['Deep Learning-based Approach'],Chest CT images,COVID-19 Chest CT Image Dataset,['SARS-CoV-2'],Respiratory Virology,Yes,Not specified,{'Accuracy': 0.85}
